 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   2.7260  10.8464   0.0700   1.0266  0.67688E+03  0.67676E+03  0.12175E+00  0.13846E+04  0.52350E+02  0.12902E+03  0.12032E+04  0.99936E+00
   10.5400   2.2980  12.1370   0.0700   1.0828  0.43238E+03  0.43230E+03  0.75607E-01  0.10069E+04  0.49025E+02  0.11655E+03  0.84128E+03  0.99928E+00
   10.5400   1.8470  13.9134   0.0700   1.1423  0.25851E+03  0.25846E+03  0.44794E-01  0.71985E+03  0.46234E+02  0.10696E+03  0.56665E+03  0.99911E+00
   10.5400   1.3700  16.6043   0.0700   1.2042  0.13919E+03  0.13916E+03  0.24538E-01  0.50287E+03  0.44758E+02  0.98722E+02  0.35939E+03  0.99869E+00
   10.5400   0.8680  21.4755   0.0700   1.2703  0.61758E+02  0.61747E+02  0.11507E-01  0.33136E+03  0.45007E+02  0.85990E+02  0.20036E+03  0.99745E+00
   10.5400   0.3380  35.6941   0.0699   1.3385  0.15952E+02  0.15949E+02  0.33483E-02  0.21069E+03  0.82695E+02  0.56310E+02  0.71684E+02  0.99064E+00
   10.5400   4.4640   8.4711   0.0900   1.0266  0.23714E+04  0.23708E+04  0.60451E+00  0.33037E+04  0.22778E+02  0.12441E+03  0.31565E+04  0.99963E+00
   10.5400   4.1310   9.0447   0.0900   1.0828  0.17558E+04  0.17554E+04  0.40853E+00  0.25315E+04  0.21075E+02  0.10595E+03  0.24045E+04  0.99964E+00
   10.5400   3.7800   9.7123   0.0900   1.1421  0.12767E+04  0.12764E+04  0.27257E+00  0.19200E+04  0.19509E+02  0.91347E+02  0.18091E+04  0.99965E+00
   10.5400   3.4100  10.5045   0.0900   1.2047  0.90840E+03  0.90822E+03  0.17905E+00  0.14404E+04  0.18074E+02  0.79854E+02  0.13424E+04  0.99965E+00
