EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540 10.846  1.03   19.35   58.19   13.89    7.70   79.78  0.645
   2.726  0.070 14.52   28.15   77.87   19.07    7.74  104.68 6.764E+02

  10.540 12.137  1.08   26.82   70.40   19.65   11.28  101.33  0.630
   2.298  0.070 15.26   39.56   94.71   26.98   11.35  133.03 4.321E+02

  10.540 13.913  1.14   39.98   88.29   30.15   17.76  136.20  0.612
   1.847  0.070 16.05   60.07  119.40   41.41   17.90  178.71 2.583E+02

  10.540 16.604  1.20   65.46  116.62   51.64   31.74  200.01  0.599
   1.370  0.070 16.88  100.48  158.54   71.02   32.20  261.76 1.390E+02

  10.540 21.476  1.27  122.31  164.71  101.08   71.27  337.05  0.577
   0.868  0.070 17.76  192.81  225.26  139.59   73.06  437.92 6.160E+01

  10.540 35.694  1.34  297.00  255.67  250.75  432.28  938.69  0.520
   0.338  0.070 18.69  487.74  353.62  356.33  523.30 1233.26 1.580E+01

  10.540  8.471  1.03    5.53   25.69    3.85    0.96   30.50  0.715
   4.464  0.090 11.26    7.67   33.16    5.25    0.96   39.37 2.370E+03

  10.540  9.045  1.08    6.35   28.51    4.42    1.20   34.14  0.709
   4.131  0.090 11.82    8.85   37.00    6.04    1.20   44.23 1.755E+03

  10.540  9.712  1.14    7.50   32.00    5.24    1.53   38.77  0.701
   3.780  0.090 12.42   10.50   41.75    7.16    1.53   50.44 1.276E+03

  10.540 10.505  1.20    9.15   36.45    6.44    1.98   44.88  0.693
   3.410  0.090 13.06   12.89   47.83    8.79    1.99   58.62 9.081E+02

  10.540 11.468  1.27   11.61   42.37    8.26    2.66   53.29  0.681
   3.019  0.090 13.72   16.49   55.92   11.28    2.67   69.87 6.289E+02

  10.540 12.679  1.34   15.43   50.54   11.16    3.70   65.40  0.667
   2.607  0.090 14.43   22.18   67.08   15.24    3.72   86.04 4.208E+02

  10.540 14.272  1.41   21.83   62.43   16.14    5.43   84.00  0.649
   2.172  0.090 15.17   31.84   83.36   22.03    5.46  110.85 2.687E+02

  10.540 16.516  1.49   33.51   80.04   25.48    8.56  114.09  0.626
   1.714  0.090 15.95   49.88  107.50   34.81    8.63  150.94 1.604E+02

  10.540 20.051  1.57   57.70  106.45   45.80   15.39  167.64  0.599
   1.231  0.090 16.78   88.30  143.83   62.65   15.57  222.04 8.568E+01

  10.540 27.021  1.66  115.49  151.71   97.74   37.27  286.72  0.574
   0.721  0.090 17.65  182.83  206.41  134.47   38.69  379.57 3.649E+01

  10.540 56.887  1.75  306.62  238.29  264.92  729.12 1232.32  0.494
   0.183  0.090 18.57  513.53  330.46  395.64 1138.57 1864.68 6.510E+00

  10.540  7.582  1.03    3.05   15.38    2.18    0.22   17.78  0.759
   5.570  0.110  9.18    4.15   19.14    2.94    0.22   22.30 4.643E+03

  10.540  7.985  1.08    3.24   16.69    2.29    0.26   19.25  0.755
   5.298  0.110  9.63    4.42   20.90    3.11    0.26   24.27 3.613E+03

  10.540  8.434  1.14    3.51   18.19    2.46    0.31   20.97  0.750
   5.011  0.110 10.11    4.79   22.92    3.34    0.31   26.58 2.782E+03

  10.540  8.937  1.20    3.87   19.95    2.71    0.38   23.04  0.745
   4.707  0.110 10.62    5.30   25.30    3.67    0.38   29.36 2.117E+03

  10.540  9.508  1.27    4.36   22.01    3.04    0.47   25.52  0.739
   4.388  0.110 11.15    5.98   28.09    4.13    0.47   32.68 1.591E+03

  10.540 10.164  1.34    5.04   24.49    3.52    0.58   28.59  0.733
   4.051  0.110 11.72    6.94   31.46    4.77    0.58   36.81 1.178E+03

  10.540 10.932  1.41    6.01   27.58    4.20    0.74   32.51  0.724
   3.695  0.110 12.31    8.30   35.64    5.70    0.74   42.08 8.565E+02

  10.540 11.847  1.49    7.39   31.50    5.20    0.96   37.66  0.714
   3.320  0.110 12.94   10.29   40.97    7.06    0.96   48.99 6.099E+02

  10.540 12.968  1.57    9.45   36.68    6.74    1.28   44.69  0.702
   2.925  0.110 13.60   13.28   48.01    9.15    1.28   58.44 4.231E+02

  10.540 14.391  1.66   12.74   43.93    9.24    1.77   54.94  0.686
   2.507  0.110 14.30   18.11   57.87   12.56    1.78   72.21 2.837E+02

  10.540 16.289  1.75   18.30   54.51   13.61    2.59   70.71  0.666
   2.067  0.110 15.03   26.44   72.29   18.50    2.61   93.39 1.815E+02

  10.540 19.019  1.84   28.76   71.20   22.09    4.09   97.38  0.639
   1.603  0.110 15.81   42.50   95.05   30.04    4.12  129.21 1.084E+02

  10.540 23.493  1.95   51.76   97.21   41.47    7.43  146.11  0.602
   1.114  0.110 16.62   79.01  130.67   56.49    7.51  194.67 5.741E+01

  10.540 33.174  2.05  112.47  140.87   97.30   20.16  258.33  0.570
   0.597  0.110 17.49  179.08  190.95  133.60   21.38  345.93 2.320E+01

  10.540161.026  2.17  130.36  232.71  118.48  624.99  976.17  0.911
   0.053  0.110 18.39  175.37  324.96  276.64  846.22 1447.82 1.523E+00

  10.540  7.109  1.03    2.21    9.92    1.65    0.07   11.63  0.794
   6.336  0.130  7.74    2.98   11.79    2.21    0.06   14.06 7.144E+03

  10.540  7.438  1.08    2.25   10.75    1.65    0.08   12.48  0.791
   6.105  0.130  8.12    3.03   12.90    2.22    0.07   15.19 5.706E+03

  10.540  7.796  1.14    2.31   11.67    1.68    0.09   13.43  0.787
   5.862  0.130  8.52    3.12   14.12    2.26    0.09   16.47 4.525E+03

  10.540  8.188  1.20    2.41   12.69    1.73    0.10   14.52  0.783
   5.606  0.130  8.93    3.26   15.49    2.33    0.10   17.92 3.560E+03

  10.540  8.620  1.27    2.56   13.84    1.82    0.12   15.77  0.778
   5.335  0.130  9.38    3.45   17.03    2.45    0.12   19.60 2.775E+03

  10.540  9.101  1.34    2.76   15.14    1.94    0.14   17.22  0.774
   5.050  0.130  9.84    3.73   18.77    2.62    0.14   21.53 2.144E+03

  10.540  9.639  1.41    3.03   16.63    2.12    0.17   18.92  0.768
   4.749  0.130 10.33    4.10   20.78    2.86    0.17   23.82 1.638E+03

  10.540 10.249  1.49    3.41   18.37    2.37    0.21   20.94  0.762
   4.432  0.130 10.85    4.62   23.12    3.20    0.21   26.53 1.236E+03

  10.540 10.950  1.57    3.93   20.45    2.72    0.26   23.43  0.755
   4.097  0.130 11.40    5.34   25.93    3.68    0.26   29.87 9.203E+02

  10.540 11.766  1.66    4.65   22.97    3.22    0.32   26.52  0.747
   3.744  0.130 11.98    6.34   29.34    4.36    0.32   34.02 6.741E+02

  10.540 12.737  1.75    5.69   26.13    3.97    0.41   30.51  0.737
   3.372  0.130 12.58    7.81   33.61    5.36    0.41   39.39 4.844E+02

  10.540 13.922  1.84    7.23   30.28    5.10    0.54   35.92  0.725
   2.979  0.130 13.22   10.01   39.22    6.90    0.54   46.67 3.399E+02

  10.540 15.418  1.95    9.65   35.93    6.94    0.74   43.61  0.709
   2.565  0.130 13.90   13.51   46.89    9.39    0.74   57.02 2.314E+02

  10.540 17.398  2.05   13.71   44.16   10.13    1.05   55.33  0.689
   2.128  0.130 14.61   19.51   58.04   13.71    1.06   72.81 1.511E+02

  10.540 20.214  2.16   21.26   57.05   16.26    1.61   74.92  0.661
   1.667  0.130 15.37   30.94   75.56   22.02    1.62   99.20 9.273E+01

  10.540 24.727  2.28   37.61   79.23   30.03    2.79  112.05  0.624
   1.181  0.130 16.16   56.50  105.75   40.74    2.81  149.30 5.125E+01

  10.540 33.988  2.41   82.12  115.03   70.22    6.75  192.00  0.577
   0.669  0.130 16.99  129.30  154.88   95.77    7.10  257.75 2.254E+01

  10.540 86.634  2.54  213.22  189.17  199.08  330.94  719.19  0.519
   0.128  0.130 17.88  366.99  252.20  298.35  602.38 1152.93 3.339E+00

  10.540  6.813  1.03    1.86    6.36    1.44    0.02    7.82  0.824
   6.897  0.150  6.69    2.49    7.05    1.91    0.02    8.98 9.640E+03

  10.540  7.101  1.08    1.83    6.95    1.40    0.02    8.38  0.820
   6.698  0.150  7.01    2.45    7.83    1.86    0.02    9.72 7.829E+03

  10.540  7.410  1.14    1.82    7.61    1.38    0.03    9.01  0.817
   6.487  0.150  7.34    2.44    8.70    1.83    0.03   10.56 6.321E+03

  10.540  7.745  1.20    1.83    8.32    1.37    0.03    9.71  0.813
   6.265  0.150  7.70    2.45    9.64    1.82    0.03   11.49 5.073E+03

  10.540  8.108  1.27    1.86    9.11    1.37    0.04   10.52  0.809
   6.030  0.150  8.07    2.49   10.69    1.83    0.04   12.56 4.044E+03

  10.540  8.503  1.34    1.92    9.97    1.39    0.04   11.40  0.804
   5.783  0.150  8.47    2.57   11.84    1.87    0.04   13.75 3.201E+03

  10.540  8.938  1.41    2.01   10.93    1.44    0.05   12.42  0.800
   5.522  0.150  8.88    2.69   13.12    1.93    0.05   15.10 2.513E+03

  10.540  9.417  1.49    2.14   12.01    1.51    0.06   13.57  0.796
   5.247  0.150  9.32    2.87   14.55    2.03    0.06   16.64 1.957E+03

  10.540  9.952  1.57    2.32   13.21    1.62    0.07   14.90  0.790
   4.957  0.150  9.78    3.11   16.17    2.18    0.07   18.41 1.509E+03

  10.540 10.553  1.66    2.57   14.59    1.77    0.08   16.45  0.785
   4.651  0.150 10.27    3.44   18.02    2.39    0.08   20.49 1.151E+03

  10.540 11.237  1.75    2.90   16.19    1.99    0.10   18.28  0.779
   4.329  0.150 10.79    3.89   20.16    2.68    0.10   22.94 8.679E+02

  10.540 12.025  1.84    3.37   18.09    2.30    0.12   20.52  0.771
   3.988  0.150 11.33    4.53   22.72    3.10    0.12   25.94 6.454E+02

  10.540 12.950  1.95    4.02   20.40    2.76    0.15   23.30  0.763
   3.629  0.150 11.90    5.43   25.82    3.72    0.15   29.69 4.722E+02

  10.540 14.059  2.05    4.97   23.28    3.43    0.19   26.90  0.752
   3.251  0.150 12.51    6.75   29.71    4.62    0.19   34.52 3.390E+02

  10.540 15.424  2.16    6.40   27.09    4.49    0.25   31.83  0.739
   2.851  0.150 13.14    8.78   34.85    6.05    0.25   41.15 2.375E+02

  10.540 17.171  2.28    8.68   32.35    6.23    0.34   38.93  0.722
   2.430  0.150 13.82   12.06   41.96    8.41    0.35   50.71 1.613E+02

  10.540 19.529  2.41   12.63   40.15    9.37    0.49   50.01  0.699
   1.986  0.150 14.52   17.88   52.50   12.65    0.49   65.64 1.047E+02

  10.540 22.989  2.54   20.34   52.89   15.75    0.76   69.40  0.668
   1.517  0.150 15.27   29.55   69.76   21.27    0.77   91.79 6.350E+01

  10.540 28.864  2.68   38.40   77.26   31.29    1.38  109.93  0.623
   1.023  0.150 16.06   57.91  101.51   42.34    1.40  145.24 3.395E+01

  10.540 42.875  2.83   95.20  117.10   84.31    4.50  205.91  0.568
   0.502  0.150 16.89  151.99  157.51  115.15    5.14  277.81 1.321E+01

  10.540  6.610  1.03    1.69    3.76    1.36    0.01    5.13  0.846
   7.327  0.170  5.88    2.25    3.61    1.78    0.01    5.40 1.203E+04

  10.540  6.872  1.08    1.63    4.23    1.30    0.01    5.53  0.844
   7.151  0.170  6.16    2.17    4.22    1.71    0.01    5.94 9.867E+03

  10.540  7.151  1.14    1.59    4.73    1.25    0.01    5.98  0.841
   6.965  0.170  6.45    2.11    4.88    1.65    0.01    6.54 8.061E+03

  10.540  7.451  1.20    1.55    5.27    1.21    0.01    6.49  0.837
   6.769  0.170  6.75    2.07    5.60    1.60    0.01    7.20 6.555E+03

  10.540  7.772  1.27    1.54    5.86    1.18    0.01    7.05  0.834
   6.562  0.170  7.07    2.05    6.38    1.56    0.01    7.95 5.302E+03

  10.540  8.118  1.34    1.54    6.50    1.16    0.01    7.67  0.830
   6.344  0.170  7.41    2.05    7.23    1.54    0.01    8.78 4.265E+03

  10.540  8.494  1.41    1.56    7.21    1.15    0.01    8.37  0.826
   6.114  0.170  7.77    2.07    8.16    1.53    0.01    9.71 3.409E+03

  10.540  8.902  1.49    1.59    7.98    1.16    0.02    9.16  0.821
   5.871  0.170  8.15    2.12    9.18    1.55    0.02   10.75 2.707E+03

  10.540  9.350  1.57    1.66    8.83    1.19    0.02   10.04  0.817
   5.615  0.170  8.55    2.20   10.31    1.59    0.02   11.91 2.133E+03

