                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.7260  10.8464  0.67688E+03  0.12161E+04  0.52082E+02  0.10701E+04  0.13846E+04  0.52350E+02  0.12032E+04
   10.5400   2.2980  12.1370  0.43238E+03  0.86987E+03  0.48718E+02  0.73627E+03  0.10069E+04  0.49025E+02  0.84128E+03
   10.5400   1.8470  13.9134  0.25851E+03  0.61005E+03  0.45864E+02  0.48632E+03  0.71985E+03  0.46234E+02  0.56665E+03
   10.5400   1.3700  16.6043  0.13919E+03  0.41703E+03  0.44127E+02  0.30112E+03  0.50287E+03  0.44758E+02  0.35939E+03
   10.5400   0.8680  21.4755  0.61758E+02  0.26923E+03  0.43901E+02  0.16306E+03  0.33136E+03  0.45007E+02  0.20036E+03
   10.5400   0.3380  35.6941  0.15952E+02  0.16414E+03  0.68311E+02  0.56204E+02  0.21069E+03  0.82695E+02  0.71684E+02
   10.5400   4.4640   8.4711  0.23714E+04  0.30936E+04  0.22788E+02  0.29796E+04  0.33037E+04  0.22778E+02  0.31565E+04
   10.5400   4.1310   9.0447  0.17558E+04  0.23543E+04  0.21059E+02  0.22556E+04  0.25315E+04  0.21075E+02  0.24045E+04
   10.5400   3.7800   9.7123  0.12767E+04  0.17710E+04  0.19471E+02  0.16846E+04  0.19200E+04  0.19509E+02  0.18091E+04
   10.5400   3.4100  10.5045  0.90840E+03  0.13156E+04  0.18019E+02  0.12391E+04  0.14404E+04  0.18074E+02  0.13424E+04
   10.5400   3.0190  11.4680  0.62910E+03  0.96403E+03  0.16733E+02  0.89534E+03  0.10682E+04  0.16804E+02  0.98053E+03
   10.5400   2.6070  12.6789  0.42098E+03  0.69603E+03  0.15575E+02  0.63347E+03  0.78287E+03  0.15660E+02  0.70309E+03
   10.5400   2.1720  14.2721  0.26887E+03  0.49447E+03  0.14584E+02  0.43652E+03  0.56664E+03  0.14680E+02  0.49275E+03
   10.5400   1.7140  16.5158  0.16051E+03  0.34341E+03  0.13735E+02  0.28880E+03  0.40252E+03  0.13843E+02  0.33285E+03
   10.5400   1.2310  20.0510  0.85779E+02  0.22932E+03  0.13184E+02  0.17690E+03  0.27594E+03  0.13342E+02  0.20892E+03
   10.5400   0.7210  27.0211  0.36584E+02  0.14112E+03  0.13599E+02  0.91850E+02  0.17500E+03  0.14119E+02  0.11181E+03
   10.5400   0.1830  56.8872  0.66059E+01  0.86731E+02  0.47464E+02  0.22022E+02  0.12790E+03  0.74118E+02  0.28022E+02
   10.5400   5.5700   7.5822  0.46440E+04  0.54685E+04  0.10321E+02  0.53571E+04  0.56784E+04  0.10271E+02  0.55314E+04
   10.5400   5.2980   7.9852  0.36135E+04  0.43083E+04  0.94931E+01  0.42159E+04  0.44897E+04  0.94585E+01  0.43680E+04
   10.5400   5.0110   8.4335  0.27828E+04  0.33657E+04  0.87332E+01  0.32884E+04  0.35217E+04  0.87114E+01  0.34201E+04
   10.5400   4.7070   8.9366  0.21179E+04  0.26054E+04  0.80577E+01  0.25400E+04  0.27391E+04  0.80470E+01  0.26533E+04
   10.5400   4.3880   9.5076  0.15915E+04  0.19973E+04  0.74135E+01  0.19415E+04  0.21113E+04  0.74122E+01  0.20382E+04
   10.5400   4.0510  10.1642  0.11780E+04  0.15146E+04  0.68325E+01  0.14663E+04  0.16114E+04  0.68393E+01  0.15483E+04
   10.5400   3.6950  10.9316  0.85663E+03  0.11350E+04  0.63116E+01  0.10927E+04  0.12169E+04  0.63252E+01  0.11618E+04
   10.5400   3.3200  11.8470  0.60997E+03  0.83958E+03  0.58338E+01  0.80202E+03  0.90870E+03  0.58532E+01  0.85976E+03
   10.5400   2.9250  12.9682  0.42314E+03  0.61220E+03  0.53966E+01  0.57830E+03  0.67038E+03  0.54210E+01  0.62624E+03
   10.5400   2.5070  14.3909  0.28368E+03  0.43949E+03  0.50279E+01  0.40825E+03  0.48847E+03  0.50565E+01  0.44780E+03
   10.5400   2.0670  16.2886  0.18158E+03  0.30992E+03  0.46990E+01  0.28051E+03  0.35109E+03  0.47315E+01  0.31278E+03
   10.5400   1.6030  19.0194  0.10841E+03  0.21392E+03  0.44320E+01  0.18555E+03  0.24842E+03  0.44686E+01  0.21139E+03
   10.5400   1.1140  23.4927  0.57443E+02  0.14128E+03  0.42648E+01  0.11321E+03  0.16916E+03  0.43104E+01  0.13242E+03
   10.5400   0.5970  33.1744  0.23240E+02  0.83115E+02  0.46755E+01  0.55871E+02  0.10344E+03  0.49589E+01  0.67486E+02
   10.5400   0.0530 161.0260  0.15635E+01  0.16389E+02  0.95178E+01  0.50668E+01  0.23571E+02  0.12887E+02  0.64716E+01
   10.5400   6.3360   7.1087  0.71443E+04  0.79746E+04  0.46659E+01  0.78522E+04  0.81481E+04  0.46267E+01  0.79860E+04
   10.5400   6.1050   7.4376  0.57060E+04  0.64176E+04  0.42850E+01  0.63190E+04  0.65725E+04  0.42538E+01  0.64416E+04
   10.5400   5.8620   7.7957  0.45248E+04  0.51324E+04  0.39298E+01  0.50524E+04  0.52697E+04  0.39057E+01  0.51635E+04
   10.5400   5.6060   8.1879  0.35597E+04  0.40765E+04  0.36015E+01  0.40112E+04  0.41975E+04  0.35836E+01  0.41108E+04
   10.5400   5.3350   8.6203  0.27754E+04  0.32132E+04  0.33081E+01  0.31594E+04  0.33193E+04  0.32955E+01  0.32480E+04
   10.5400   5.0500   9.1006  0.21436E+04  0.25127E+04  0.30339E+01  0.24680E+04  0.26052E+04  0.30258E+01  0.25460E+04
   10.5400   4.7490   9.6391  0.16377E+04  0.19476E+04  0.27855E+01  0.19101E+04  0.20278E+04  0.27813E+01  0.19781E+04
   10.5400   4.4320  10.2492  0.12362E+04  0.14952E+04  0.25560E+01  0.14634E+04  0.15643E+04  0.25550E+01  0.15222E+04
   10.5400   4.0970  10.9495  0.92022E+03  0.11359E+04  0.23506E+01  0.11085E+04  0.11951E+04  0.23525E+01  0.11589E+04
   10.5400   3.7440  11.7661  0.67407E+03  0.85290E+03  0.21623E+01  0.82900E+03  0.90349E+03  0.21666E+01  0.87191E+03
   10.5400   3.3720  12.7374  0.48436E+03  0.63222E+03  0.19902E+01  0.61102E+03  0.67524E+03  0.19965E+01  0.64726E+03
   10.5400   2.9790  13.9224  0.33987E+03  0.46203E+03  0.18393E+01  0.44284E+03  0.49857E+03  0.18473E+01  0.47325E+03
   10.5400   2.5650  15.4182  0.23134E+03  0.33227E+03  0.17029E+01  0.31452E+03  0.36330E+03  0.17123E+01  0.33987E+03
   10.5400   2.1280  17.3984  0.15104E+03  0.23466E+03  0.15864E+01  0.21778E+03  0.26106E+03  0.15971E+01  0.23876E+03
   10.5400   1.6670  20.2141  0.92713E+02  0.16220E+03  0.14919E+01  0.14563E+03  0.18472E+03  0.15038E+01  0.16279E+03
   10.5400   1.1810  24.7272  0.51246E+02  0.10868E+03  0.14292E+01  0.91861E+02  0.12777E+03  0.14427E+01  0.10545E+03
   10.5400   0.6690  33.9881  0.22545E+02  0.65818E+02  0.15218E+01  0.48469E+02  0.80639E+02  0.16010E+01  0.57451E+02
   10.5400   0.1280  86.6338  0.33497E+01  0.27355E+02  0.11051E+02  0.96564E+01  0.41839E+02  0.20115E+02  0.11761E+02
   10.5400   6.8970   6.8128  0.96402E+04  0.10394E+05  0.20835E+01  0.10254E+05  0.10506E+05  0.20595E+01  0.10320E+05
   10.5400   6.6980   7.1007  0.78287E+04  0.84849E+04  0.18982E+01  0.83732E+04  0.85898E+04  0.18785E+01  0.84421E+04
   10.5400   6.4870   7.4103  0.63208E+04  0.68907E+04  0.17350E+01  0.68019E+04  0.69886E+04  0.17190E+01  0.68709E+04
   10.5400   6.2650   7.7447  0.50728E+04  0.55660E+04  0.15835E+01  0.54951E+04  0.56563E+04  0.15707E+01  0.55623E+04
   10.5400   6.0300   8.1075  0.40436E+04  0.44693E+04  0.14487E+01  0.44124E+04  0.45519E+04  0.14387E+01  0.44763E+04
   10.5400   5.7830   8.5033  0.32004E+04  0.35659E+04  0.13224E+01  0.35199E+04  0.36408E+04  0.13147E+01  0.35797E+04
   10.5400   5.5220   8.9375  0.25131E+04  0.28256E+04  0.12091E+01  0.27882E+04  0.28930E+04  0.12035E+01  0.28432E+04
   10.5400   5.2470   9.4174  0.19564E+04  0.22223E+04  0.11047E+01  0.21916E+04  0.22823E+04  0.11008E+01  0.22415E+04
   10.5400   4.9570   9.9519  0.15086E+04  0.17337E+04  0.10095E+01  0.17082E+04  0.17867E+04  0.10072E+01  0.17528E+04
   10.5400   4.6510  10.5531  0.11509E+04  0.13405E+04  0.92319E+00  0.13192E+04  0.13870E+04  0.92210E+00  0.13586E+04
   10.5400   4.3290  11.2369  0.86772E+03  0.10266E+04  0.84293E+00  0.10084E+04  0.10670E+04  0.84292E+00  0.10429E+04
   10.5400   3.9880  12.0254  0.64517E+03  0.77776E+03  0.77341E+00  0.76212E+03  0.81278E+03  0.77430E+00  0.79197E+03
   10.5400   3.6290  12.9503  0.47209E+03  0.58229E+03  0.70913E+00  0.56856E+03  0.61244E+03  0.71078E+00  0.59418E+03
   10.5400   3.2510  14.0586  0.33886E+03  0.43017E+03  0.64990E+00  0.41789E+03  0.45601E+03  0.65217E+00  0.43968E+03
   10.5400   2.8510  15.4240  0.23741E+03  0.31311E+03  0.59989E+00  0.30185E+03  0.33526E+03  0.60270E+00  0.32029E+03
   10.5400   2.4300  17.1709  0.16118E+03  0.22403E+03  0.55411E+00  0.21342E+03  0.24303E+03  0.55737E+00  0.22892E+03
   10.5400   1.9860  19.5292  0.10467E+03  0.15711E+03  0.51472E+00  0.14678E+03  0.17349E+03  0.51839E+00  0.15972E+03
   10.5400   1.5170  22.9885  0.63454E+02  0.10757E+03  0.48544E+00  0.97081E+02  0.12179E+03  0.48953E+00  0.10779E+03
   10.5400   1.0230  28.8638  0.33922E+02  0.71280E+02  0.46913E+00  0.60187E+02  0.83269E+02  0.47386E+00  0.68420E+02
   10.5400   0.5020  42.8753  0.13193E+02  0.40424E+02  0.59420E+00  0.28688E+02  0.49924E+02  0.67978E+00  0.34028E+02
   10.5400   7.3270   6.6099  0.12024E+05  0.12643E+05  0.90632E+00  0.12478E+05  0.12676E+05  0.89342E+00  0.12460E+05
   10.5400   7.1510   6.8719  0.98655E+04  0.10413E+05  0.82168E+00  0.10284E+05  0.10453E+05  0.81092E+00  0.10283E+05
   10.5400   6.9650   7.1514  0.80595E+04  0.85432E+04  0.74617E+00  0.84420E+04  0.85879E+04  0.73725E+00  0.84545E+04
   10.5400   6.7690   7.4505  0.65536E+04  0.69800E+04  0.67751E+00  0.69003E+04  0.70270E+04  0.67019E+00  0.69218E+04
   10.5400   6.5620   7.7718  0.53012E+04  0.56760E+04  0.61580E+00  0.56131E+04  0.57238E+04  0.60985E+00  0.56405E+04
   10.5400   6.3440   8.1183  0.42640E+04  0.45923E+04  0.55922E+00  0.45424E+04  0.46394E+04  0.55445E+00  0.45732E+04
   10.5400   6.1140   8.4936  0.34085E+04  0.36949E+04  0.50807E+00  0.36552E+04  0.37404E+04  0.50432E+00  0.36876E+04
   10.5400   5.8710   8.9022  0.27061E+04  0.29549E+04  0.46226E+00  0.29230E+04  0.29979E+04  0.45939E+00  0.29555E+04
   10.5400   5.6150   9.3496  0.21328E+04  0.23476E+04  0.42029E+00  0.23219E+04  0.23876E+04  0.41816E+00  0.23534E+04
   10.5400   5.3450   9.8427  0.16675E+04  0.18520E+04  0.38223E+00  0.18310E+04  0.18888E+04  0.38073E+00  0.18608E+04
   10.5400   5.0600  10.3904  0.12922E+04  0.14498E+04  0.34798E+00  0.14325E+04  0.14831E+04  0.34702E+00  0.14601E+04
   10.5400   4.7600  11.0043  0.99163E+03  0.11254E+04  0.31628E+00  0.11111E+04  0.11553E+04  0.31577E+00  0.11361E+04
   10.5400   4.4430  11.6997  0.75265E+03  0.86557E+03  0.28818E+00  0.85347E+03  0.89206E+03  0.28805E+00  0.87592E+03
   10.5400   4.1090  12.4976  0.56422E+03  0.65902E+03  0.26249E+00  0.64866E+03  0.68231E+03  0.26268E+00  0.66848E+03
