 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   2.7260  10.8464   0.0700   1.0266  0.29595E+03  0.29590E+03  0.52199E-01  0.57445E+03  0.18159E+02  0.52898E+02  0.50339E+03  0.99971E+00
   10.5400   2.2980  12.1370   0.0700   1.0828  0.18899E+03  0.18896E+03  0.32406E-01  0.41476E+03  0.17065E+02  0.47845E+02  0.34985E+03  0.99968E+00
   10.5400   1.8470  13.9134   0.0700   1.1423  0.11294E+03  0.11292E+03  0.19192E-01  0.29400E+03  0.16150E+02  0.43981E+02  0.23387E+03  0.99960E+00
   10.5400   1.3700  16.6043   0.0700   1.2042  0.60770E+02  0.60760E+02  0.10509E-01  0.20336E+03  0.15527E+02  0.40884E+02  0.14695E+03  0.99940E+00
   10.5400   0.8680  21.4755   0.0700   1.2703  0.26933E+02  0.26928E+02  0.49237E-02  0.13312E+03  0.16094E+02  0.36040E+02  0.80986E+02  0.99880E+00
   10.5400   0.3380  35.6941   0.0699   1.3385  0.69257E+01  0.69243E+01  0.14274E-02  0.97403E+02  0.44945E+02  0.23888E+02  0.28569E+02  0.99546E+00
   10.5400   4.4640   8.4711   0.0900   1.0266  0.10364E+04  0.10361E+04  0.26021E+00  0.14117E+04  0.90753E+01  0.50871E+02  0.13517E+04  0.99982E+00
   10.5400   4.1310   9.0447   0.0900   1.0828  0.76735E+03  0.76718E+03  0.17582E+00  0.10791E+04  0.83961E+01  0.43335E+02  0.10274E+04  0.99983E+00
   10.5400   3.7800   9.7123   0.0900   1.1421  0.55798E+03  0.55787E+03  0.11728E+00  0.81615E+03  0.77740E+01  0.37389E+02  0.77098E+03  0.99983E+00
   10.5400   3.4100  10.5045   0.0900   1.2047  0.39701E+03  0.39694E+03  0.77029E-01  0.61022E+03  0.72070E+01  0.32703E+02  0.57031E+03  0.99984E+00
   10.5400   3.0190  11.4680   0.0900   1.2705  0.27494E+03  0.27489E+03  0.49599E-01  0.45068E+03  0.67073E+01  0.29066E+02  0.41490E+03  0.99983E+00
   10.5400   2.6070  12.6789   0.0900   1.3401  0.18397E+03  0.18394E+03  0.31136E-01  0.32860E+03  0.62638E+01  0.26305E+02  0.29603E+03  0.99982E+00
   10.5400   2.1720  14.2721   0.0900   1.4131  0.11749E+03  0.11747E+03  0.18858E-01  0.23635E+03  0.58956E+01  0.24320E+02  0.20613E+03  0.99978E+00
   10.5400   1.7140  16.5158   0.0900   1.4907  0.70132E+02  0.70121E+02  0.10821E-01  0.16666E+03  0.56045E+01  0.22975E+02  0.13808E+03  0.99969E+00
   10.5400   1.2310  20.0510   0.0900   1.5729  0.37472E+02  0.37466E+02  0.56559E-02  0.11345E+03  0.54255E+01  0.22161E+02  0.85858E+02  0.99946E+00
   10.5400   0.7210  27.0211   0.0900   1.6591  0.15972E+02  0.15970E+02  0.24163E-02  0.71626E+02  0.56709E+01  0.20558E+02  0.45397E+02  0.99875E+00
   10.5400   0.1830  56.8872   0.0901   1.7503  0.28681E+01  0.28677E+01  0.45069E-03  0.55151E+02  0.32970E+02  0.10978E+02  0.11204E+02  0.99265E+00
   10.5400   5.5700   7.5822   0.1101   1.0266  0.20306E+04  0.20299E+04  0.76111E+00  0.24550E+04  0.48265E+01  0.55861E+02  0.23943E+04  0.99989E+00
   10.5400   5.2980   7.9852   0.1101   1.0829  0.15803E+04  0.15797E+04  0.52878E+00  0.19389E+04  0.44460E+01  0.45888E+02  0.18886E+04  0.99990E+00
   10.5400   5.0110   8.4335   0.1101   1.1422  0.12171E+04  0.12167E+04  0.36430E+00  0.15190E+04  0.40964E+01  0.38002E+02  0.14769E+04  0.99991E+00
   10.5400   4.7070   8.9366   0.1100   1.2045  0.92641E+03  0.92616E+03  0.24854E+00  0.11797E+04  0.37839E+01  0.31809E+02  0.11441E+04  0.99991E+00
   10.5400   4.3880   9.5076   0.1101   1.2706  0.69625E+03  0.69608E+03  0.16797E+00  0.90781E+03  0.34880E+01  0.26878E+02  0.87745E+03  0.99992E+00
