EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS Carbon                                                             
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ= ordina; ttarg(rl)=0.00601; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540 10.846  1.03   20.20   58.17   14.53    6.11   78.82  0.647
   2.726  0.070 14.52   25.80   70.14   17.88    6.14   94.16 2.959E+02

  10.540 12.137  1.08   28.02   70.38   20.58    8.98   99.94  0.632
   2.298  0.070 15.26   36.13   85.18   25.32    9.03  119.53 1.889E+02

  10.540 13.913  1.14   41.82   88.20   31.65   14.21  134.06  0.615
   1.847  0.070 16.05   54.61  107.16   38.96   14.31  160.42 1.129E+02

  10.540 16.604  1.20   68.57  116.38   54.63   25.41  196.43  0.605
   1.370  0.070 16.88   90.89  141.95   67.32   25.57  234.84 6.073E+01

  10.540 21.476  1.27  128.41  164.11  108.37   59.05  331.53  0.589
   0.868  0.070 17.76  173.41  201.06  133.98   59.83  394.87 2.690E+01

  10.540 35.694  1.34  312.95  254.33  272.75  516.32 1043.40  0.536
   0.338  0.070 18.69  435.08  314.40  346.49  651.93 1312.82 6.894E+00

  10.540  8.471  1.03    5.76   25.88    4.01    0.88   30.76  0.716
   4.464  0.090 11.26    7.12   30.45    4.91    0.88   36.24 1.036E+03

  10.540  9.045  1.08    6.62   28.71    4.61    1.09   34.41  0.710
   4.131  0.090 11.82    8.20   33.91    5.65    1.09   40.65 7.672E+02

  10.540  9.712  1.14    7.81   32.21    5.47    1.39   39.07  0.703
   3.780  0.090 12.42    9.72   38.20    6.70    1.39   46.29 5.579E+02

  10.540 10.505  1.20    9.54   36.69    6.72    1.81   45.22  0.694
   3.410  0.090 13.06   11.91   43.67    8.24    1.82   53.73 3.969E+02

  10.540 11.468  1.27   12.10   42.61    8.63    2.43   53.67  0.683
   3.019  0.090 13.72   15.21   50.93   10.57    2.44   63.95 2.749E+02

  10.540 12.679  1.34   16.10   50.78   11.67    3.39   65.84  0.669
   2.607  0.090 14.43   20.38   60.94   14.30    3.41   78.65 1.839E+02

  10.540 14.272  1.41   22.79   62.63   16.89    5.00   84.51  0.652
   2.172  0.090 15.17   29.15   75.48   20.70    5.02  101.21 1.175E+02

  10.540 16.516  1.49   35.01   80.11   26.72    7.94  114.76  0.629
   1.714  0.090 15.95   45.41   96.95   32.77    7.99  137.72 7.011E+01

  10.540 20.051  1.57   60.35  106.35   48.19   14.36  168.90  0.603
   1.231  0.090 16.78   79.83  129.25   59.17   14.49  202.91 3.745E+01

  10.540 27.021  1.66  121.03  151.10  104.43   35.20  290.73  0.586
   0.721  0.090 17.65  163.93  184.58  128.87   35.55  348.99 1.595E+01

  10.540 56.887  1.75  322.29  236.57  287.20  829.17 1352.95  0.509
   0.183  0.090 18.57  454.27  293.52  385.59 1158.04 1837.15 2.847E+00

  10.540  7.582  1.03    3.17   15.57    2.26    0.24   18.07  0.760
   5.570  0.110  9.18    3.87   17.92    2.75    0.24   20.91 2.030E+03

  10.540  7.985  1.08    3.37   16.89    2.38    0.28   19.56  0.756
   5.298  0.110  9.63    4.12   19.52    2.90    0.28   22.71 1.580E+03

  10.540  8.434  1.14    3.65   18.41    2.56    0.34   21.30  0.751
   5.011  0.110 10.11    4.46   21.36    3.12    0.34   24.82 1.217E+03

  10.540  8.937  1.20    4.02   20.18    2.81    0.41   23.40  0.746
   4.707  0.110 10.62    4.93   23.51    3.43    0.41   27.35 9.263E+02

  10.540  9.508  1.27    4.54   22.26    3.16    0.50   25.92  0.740
   4.388  0.110 11.15    5.56   26.03    3.86    0.50   30.40 6.962E+02

  10.540 10.164  1.34    5.25   24.76    3.66    0.62   29.04  0.734
   4.051  0.110 11.72    6.45   29.09    4.47    0.62   34.18 5.154E+02

  10.540 10.932  1.41    6.25   27.87    4.37    0.79   33.03  0.725
   3.695  0.110 12.31    7.70   32.87    5.33    0.80   39.00 3.748E+02

  10.540 11.847  1.49    7.69   31.81    5.41    1.03   38.26  0.716
   3.320  0.110 12.94    9.52   37.68    6.61    1.03   45.33 2.669E+02

  10.540 12.968  1.57    9.84   37.02    7.01    1.38   45.42  0.704
   2.925  0.110 13.60   12.26   44.05    8.57    1.38   54.00 1.852E+02

  10.540 14.391  1.66   13.26   44.27    9.63    1.92   55.82  0.688
   2.507  0.110 14.30   16.66   52.91   11.77    1.93   66.61 1.242E+02

  10.540 16.289  1.75   19.05   54.83   14.20    2.82   71.85  0.668
   2.067  0.110 15.03   24.21   65.83   17.36    2.83   86.02 7.948E+01

  10.540 19.019  1.84   29.96   71.39   23.10    4.49   98.98  0.642
   1.603  0.110 15.81   38.67   86.10   28.25    4.52  118.87 4.746E+01

  10.540 23.493  1.95   53.97   97.08   43.48    8.27  148.83  0.606
   1.114  0.110 16.62   71.25  117.65   53.25    8.36  179.27 2.515E+01

  10.540 33.174  2.05  117.47  140.15  103.57   22.23  265.95  0.581
   0.597  0.110 17.49  159.77  170.86  127.77   22.46  321.09 1.017E+01

  10.540161.026  2.17  135.68  233.17  115.63  474.09  822.88  0.862
   0.053  0.110 18.39  164.15  292.19  245.31  563.41 1100.91 6.684E-01

  10.540  7.109  1.03    2.30   10.09    1.71    0.08   11.88  0.794
   6.336  0.130  7.74    2.78   11.33    2.06    0.08   13.47 3.127E+03

  10.540  7.438  1.08    2.33   10.93    1.71    0.10   12.74  0.791
   6.105  0.130  8.12    2.83   12.34    2.07    0.10   14.50 2.498E+03

  10.540  7.796  1.14    2.40   11.86    1.74    0.11   13.71  0.787
   5.862  0.130  8.52    2.91   13.45    2.11    0.11   15.67 1.982E+03

  10.540  8.188  1.20    2.50   12.89    1.80    0.13   14.81  0.783
   5.606  0.130  8.93    3.03   14.69    2.18    0.13   17.00 1.559E+03

  10.540  8.620  1.27    2.65   14.05    1.88    0.15   16.09  0.778
   5.335  0.130  9.38    3.22   16.09    2.29    0.15   18.53 1.216E+03

  10.540  9.101  1.34    2.86   15.36    2.01    0.18   17.56  0.774
   5.050  0.130  9.84    3.47   17.68    2.45    0.18   20.31 9.393E+02

  10.540  9.639  1.41    3.15   16.88    2.20    0.22   19.29  0.769
   4.749  0.130 10.33    3.82   19.50    2.67    0.22   22.40 7.178E+02

  10.540 10.249  1.49    3.54   18.64    2.45    0.27   21.36  0.763
   4.432  0.130 10.85    4.30   21.64    2.99    0.27   24.89 5.419E+02

  10.540 10.950  1.57    4.07   20.73    2.82    0.33   23.88  0.756
   4.097  0.130 11.40    4.96   24.18    3.43    0.33   27.95 4.035E+02

  10.540 11.766  1.66    4.82   23.28    3.34    0.42   27.04  0.748
   3.744  0.130 11.98    5.89   27.27    4.07    0.42   31.77 2.956E+02

  10.540 12.737  1.75    5.90   26.47    4.11    0.54   31.12  0.739
   3.372  0.130 12.58    7.24   31.15    5.01    0.54   36.70 2.125E+02

  10.540 13.922  1.84    7.50   30.64    5.30    0.71   36.64  0.726
   2.979  0.130 13.22    9.26   36.23    6.45    0.71   43.40 1.491E+02

  10.540 15.418  1.95   10.01   36.31    7.20    0.97   44.49  0.711
   2.565  0.130 13.90   12.45   43.15    8.78    0.97   52.91 1.015E+02

  10.540 17.398  2.05   14.22   44.54   10.53    1.39   56.46  0.691
   2.128  0.130 14.61   17.89   53.19   12.83    1.40   67.42 6.630E+01

  10.540 20.214  2.16   22.06   57.36   16.93    2.14   76.43  0.664
   1.667  0.130 15.37   28.18   68.85   20.65    2.16   91.65 4.071E+01

  10.540 24.727  2.28   39.05   79.25   31.35    3.78  114.38  0.627
   1.181  0.130 16.16   50.98   95.62   38.29    3.82  137.73 2.252E+01

  10.540 33.988  2.41   85.38  114.47   73.89    8.90  197.26  0.585
   0.669  0.130 16.99  115.21  138.97   90.70    8.99  238.65 9.910E+00

  10.540 86.634  2.54  222.16  188.10  212.01  430.91  831.02  0.531
   0.128  0.130 17.88  318.72  231.15  294.24  646.83 1172.22 1.470E+00

  10.540  6.813  1.03    1.92    6.53    1.49    0.03    8.05  0.823
   6.897  0.150  6.69    2.32    7.07    1.78    0.03    8.89 4.225E+03

  10.540  7.101  1.08    1.89    7.12    1.45    0.04    8.60  0.820
   6.698  0.150  7.01    2.28    7.77    1.74    0.04    9.55 3.432E+03

  10.540  7.410  1.14    1.88    7.78    1.42    0.04    9.24  0.816
   6.487  0.150  7.34    2.27    8.56    1.71    0.04   10.31 2.772E+03

  10.540  7.745  1.20    1.89    8.50    1.41    0.05    9.96  0.813
   6.265  0.150  7.70    2.28    9.42    1.70    0.05   11.17 2.226E+03

  10.540  8.108  1.27    1.93    9.29    1.42    0.06   10.77  0.809
   6.030  0.150  8.07    2.32   10.37    1.71    0.06   12.14 1.775E+03

  10.540  8.503  1.34    1.99   10.17    1.44    0.07   11.67  0.804
   5.783  0.150  8.47    2.40   11.42    1.74    0.07   13.23 1.405E+03

  10.540  8.938  1.41    2.08   11.14    1.49    0.08   12.70  0.800
   5.522  0.150  8.88    2.51   12.59    1.80    0.08   14.47 1.103E+03

  10.540  9.417  1.49    2.22   12.22    1.56    0.09   13.88  0.796
   5.247  0.150  9.32    2.67   13.89    1.89    0.09   15.88 8.592E+02

  10.540  9.952  1.57    2.40   13.44    1.67    0.11   15.22  0.791
   4.957  0.150  9.78    2.90   15.36    2.03    0.11   17.50 6.627E+02

  10.540 10.553  1.66    2.66   14.84    1.83    0.13   16.80  0.785
   4.651  0.150 10.27    3.20   17.05    2.22    0.13   19.40 5.057E+02

  10.540 11.237  1.75    3.00   16.45    2.06    0.16   18.67  0.779
   4.329  0.150 10.79    3.63   18.99    2.50    0.16   21.65 3.814E+02

  10.540 12.025  1.84    3.48   18.38    2.38    0.20   20.96  0.772
   3.988  0.150 11.33    4.21   21.33    2.89    0.20   24.42 2.836E+02

  10.540 12.950  1.95    4.16   20.71    2.85    0.25   23.80  0.764
   3.629  0.150 11.90    5.05   24.15    3.46    0.25   27.86 2.076E+02

  10.540 14.059  2.05    5.14   23.62    3.54    0.32   27.48  0.753
   3.251  0.150 12.51    6.26   27.69    4.31    0.32   32.32 1.490E+02

  10.540 15.424  2.16    6.62   27.46    4.64    0.42   32.52  0.740
   2.851  0.150 13.14    8.11   32.35    5.64    0.42   38.42 1.045E+02

  10.540 17.171  2.28    8.97   32.74    6.45    0.57   39.77  0.724
   2.430  0.150 13.82   11.10   38.78    7.85    0.57   47.21 7.095E+01

  10.540 19.529  2.41   13.05   40.54    9.71    0.82   51.07  0.701
   1.986  0.150 14.52   16.36   48.28   11.82    0.83   60.92 4.610E+01

  10.540 22.989  2.54   21.03   53.21   16.35    1.29   70.84  0.671
   1.517  0.150 15.27   26.82   63.72   19.90    1.30   84.92 2.797E+01

  10.540 28.864  2.68   39.72   76.13   32.57    2.39  111.09  0.627
   1.023  0.150 16.06   52.00   91.71   39.73    2.42  133.86 1.496E+01

  10.540 42.875  2.83   98.61  116.31   88.76    6.81  211.88  0.578
   0.502  0.150 16.89  134.38  141.19  109.24    6.85  257.28 5.830E+00

  10.540  6.610  1.03    1.75    3.92    1.40    0.02    5.34  0.845
   7.327  0.170  5.88    2.09    3.98    1.67    0.02    5.66 5.275E+03

  10.540  6.872  1.08    1.68    4.39    1.34    0.02    5.74  0.843
   7.151  0.170  6.16    2.02    4.53    1.59    0.02    6.14 4.330E+03

  10.540  7.151  1.14    1.64    4.89    1.29    0.02    6.20  0.840
   6.965  0.170  6.45    1.97    5.13    1.54    0.02    6.68 3.539E+03

  10.540  7.451  1.20    1.60    5.44    1.24    0.02    6.70  0.837
   6.769  0.170  6.75    1.93    5.77    1.49    0.02    7.28 2.879E+03

  10.540  7.772  1.27    1.59    6.03    1.21    0.02    7.27  0.833
   6.562  0.170  7.07    1.91    6.48    1.45    0.02    7.96 2.330E+03

  10.540  8.118  1.34    1.59    6.68    1.19    0.03    7.90  0.829
   6.344  0.170  7.41    1.91    7.25    1.43    0.03    8.71 1.875E+03

  10.540  8.494  1.41    1.60    7.39    1.19    0.03    8.61  0.825
   6.114  0.170  7.77    1.93    8.10    1.43    0.03    9.56 1.499E+03

  10.540  8.902  1.49    1.64    8.17    1.19    0.04    9.40  0.821
   5.871  0.170  8.15    1.97    9.04    1.44    0.04   10.51 1.191E+03

  10.540  9.350  1.57    1.71    9.03    1.22    0.04   10.29  0.816
   5.615  0.170  8.55    2.05   10.06    1.48    0.04   11.58 9.386E+02

