                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.7260  10.8464  0.29595E+03  0.52906E+03  0.18086E+02  0.46799E+03  0.57445E+03  0.18159E+02  0.50339E+03
   10.5400   2.2980  12.1370  0.18899E+03  0.37774E+03  0.16974E+02  0.32189E+03  0.41476E+03  0.17065E+02  0.34985E+03
   10.5400   1.8470  13.9134  0.11294E+03  0.26424E+03  0.16044E+02  0.21247E+03  0.29400E+03  0.16150E+02  0.23387E+03
   10.5400   1.3700  16.6043  0.60770E+02  0.18003E+03  0.15434E+02  0.13142E+03  0.20336E+03  0.15527E+02  0.14695E+03
   10.5400   0.8680  21.4755  0.26933E+02  0.11608E+03  0.15885E+02  0.71046E+02  0.13312E+03  0.16094E+02  0.80986E+02
   10.5400   0.3380  35.6941  0.69257E+01  0.78829E+02  0.35596E+02  0.24428E+02  0.97403E+02  0.44945E+02  0.28569E+02
   10.5400   4.4640   8.4711  0.10364E+04  0.13549E+04  0.90766E+01  0.13043E+04  0.14117E+04  0.90753E+01  0.13517E+04
   10.5400   4.1310   9.0447  0.76735E+03  0.10313E+04  0.83919E+01  0.98749E+03  0.10791E+04  0.83961E+01  0.10274E+04
   10.5400   3.7800   9.7123  0.55798E+03  0.77588E+03  0.77650E+01  0.73761E+03  0.81615E+03  0.77740E+01  0.77098E+03
   10.5400   3.4100  10.5045  0.39701E+03  0.57645E+03  0.71938E+01  0.54258E+03  0.61022E+03  0.72070E+01  0.57031E+03
   10.5400   3.0190  11.4680  0.27494E+03  0.42244E+03  0.66900E+01  0.39203E+03  0.45068E+03  0.67073E+01  0.41490E+03
   10.5400   2.6070  12.6789  0.18397E+03  0.30504E+03  0.62421E+01  0.27734E+03  0.32860E+03  0.62638E+01  0.29603E+03
   10.5400   2.1720  14.2721  0.11749E+03  0.21674E+03  0.58676E+01  0.19103E+03  0.23635E+03  0.58956E+01  0.20613E+03
   10.5400   1.7140  16.5158  0.70132E+02  0.15057E+03  0.55663E+01  0.12627E+03  0.16666E+03  0.56045E+01  0.13808E+03
   10.5400   1.2310  20.0510  0.37472E+02  0.10071E+03  0.53790E+01  0.77279E+02  0.11345E+03  0.54255E+01  0.85858E+02
   10.5400   0.7210  27.0211  0.15972E+02  0.62330E+02  0.56157E+01  0.40056E+02  0.71626E+02  0.56709E+01  0.45397E+02
   10.5400   0.1830  56.8872  0.28681E+01  0.41366E+02  0.23607E+02  0.95822E+01  0.55151E+02  0.32970E+02  0.11204E+02
   10.5400   5.5700   7.5822  0.20306E+04  0.23973E+04  0.48389E+01  0.23465E+04  0.24550E+04  0.48265E+01  0.23943E+04
   10.5400   5.2980   7.9852  0.15803E+04  0.18891E+04  0.44547E+01  0.18470E+04  0.19389E+04  0.44460E+01  0.18886E+04
   10.5400   5.0110   8.4335  0.12171E+04  0.14763E+04  0.41018E+01  0.14410E+04  0.15190E+04  0.40964E+01  0.14769E+04
   10.5400   4.7070   8.9366  0.92641E+03  0.11431E+04  0.37865E+01  0.11133E+04  0.11797E+04  0.37839E+01  0.11441E+04
   10.5400   4.3880   9.5076  0.69625E+03  0.87665E+03  0.34881E+01  0.85114E+03  0.90781E+03  0.34880E+01  0.87745E+03
   10.5400   4.0510  10.1642  0.51541E+03  0.66506E+03  0.32186E+01  0.64300E+03  0.69152E+03  0.32205E+01  0.66528E+03
   10.5400   3.6950  10.9316  0.37484E+03  0.49862E+03  0.29766E+01  0.47928E+03  0.52100E+03  0.29803E+01  0.49803E+03
   10.5400   3.3200  11.8470  0.26694E+03  0.36904E+03  0.27557E+01  0.35184E+03  0.38793E+03  0.27608E+01  0.36751E+03
   10.5400   2.9250  12.9682  0.18520E+03  0.26929E+03  0.25549E+01  0.25375E+03  0.28520E+03  0.25614E+01  0.26676E+03
   10.5400   2.5070  14.3909  0.12418E+03  0.19348E+03  0.23859E+01  0.17913E+03  0.20687E+03  0.23937E+01  0.18986E+03
   10.5400   2.0670  16.2886  0.79491E+02  0.13660E+03  0.22396E+01  0.12307E+03  0.14786E+03  0.22493E+01  0.13181E+03
