 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   2.7260  10.8464   0.0700   1.0266  0.16639E+04  0.16636E+04  0.29272E+00  0.35117E+04  0.10687E+03  0.32983E+03  0.30750E+04  0.99887E+00
   10.5400   2.2980  12.1370   0.0700   1.0828  0.10621E+04  0.10620E+04  0.18184E+00  0.25569E+04  0.99969E+02  0.29753E+03  0.21594E+04  0.99874E+00
   10.5400   1.8470  13.9134   0.0700   1.1423  0.63444E+03  0.63434E+03  0.10778E+00  0.18281E+04  0.93942E+02  0.27219E+03  0.14619E+04  0.99844E+00
   10.5400   1.3700  16.6043   0.0700   1.2042  0.34116E+03  0.34110E+03  0.59075E-01  0.12720E+04  0.90002E+02  0.24882E+03  0.93316E+03  0.99774E+00
   10.5400   0.8680  21.4755   0.0700   1.2703  0.15107E+03  0.15104E+03  0.27732E-01  0.82615E+03  0.88240E+02  0.21377E+03  0.52414E+03  0.99569E+00
   10.5400   0.3380  35.6941   0.0699   1.3385  0.39003E+02  0.38995E+02  0.81059E-02  0.43067E+03  0.10399E+03  0.13768E+03  0.18900E+03  0.98464E+00
   10.5400   4.4640   8.4711   0.0900   1.0266  0.58358E+04  0.58344E+04  0.14499E+01  0.82758E+04  0.38675E+02  0.31941E+03  0.79177E+04  0.99938E+00
   10.5400   4.1310   9.0447   0.0900   1.0828  0.43187E+04  0.43178E+04  0.98009E+00  0.63491E+04  0.35777E+02  0.27188E+03  0.60414E+04  0.99940E+00
   10.5400   3.7800   9.7123   0.0900   1.1421  0.31386E+04  0.31379E+04  0.65407E+00  0.48212E+04  0.33106E+02  0.23431E+03  0.45538E+04  0.99942E+00
   10.5400   3.4100  10.5045   0.0900   1.2047  0.22317E+04  0.22312E+04  0.42977E+00  0.36216E+04  0.30652E+02  0.20468E+03  0.33862E+04  0.99942E+00
   10.5400   3.0190  11.4680   0.0900   1.2705  0.15443E+04  0.15440E+04  0.27684E+00  0.26898E+04  0.28481E+02  0.18162E+03  0.24797E+04  0.99941E+00
   10.5400   2.6070  12.6789   0.0900   1.3401  0.10324E+04  0.10323E+04  0.17386E+00  0.19738E+04  0.26515E+02  0.16401E+03  0.17832E+04  0.99935E+00
   10.5400   2.1720  14.2721   0.0900   1.4131  0.65862E+03  0.65852E+03  0.10535E+00  0.14306E+04  0.24821E+02  0.15120E+03  0.12546E+04  0.99923E+00
   10.5400   1.7140  16.5158   0.0900   1.4907  0.39258E+03  0.39252E+03  0.60481E-01  0.10172E+04  0.23334E+02  0.14228E+03  0.85160E+03  0.99894E+00
   10.5400   1.2310  20.0510   0.0900   1.5729  0.20936E+03  0.20933E+03  0.31634E-01  0.69629E+03  0.22342E+02  0.13598E+03  0.53797E+03  0.99821E+00
   10.5400   0.7210  27.0211   0.0900   1.6591  0.89033E+02  0.89020E+02  0.13539E-01  0.43463E+03  0.22155E+02  0.12215E+03  0.29033E+03  0.99588E+00
   10.5400   0.1830  56.8872   0.0901   1.7503  0.16086E+02  0.16084E+02  0.25580E-02  0.18896E+03  0.52992E+02  0.62708E+02  0.73265E+02  0.97730E+00
   10.5400   5.5700   7.5822   0.1101   1.0266  0.11421E+05  0.11417E+05  0.42238E+01  0.14096E+05  0.13569E+02  0.35130E+03  0.13731E+05  0.99966E+00
   10.5400   5.2980   7.9852   0.1101   1.0829  0.88822E+04  0.88793E+04  0.29356E+01  0.11153E+05  0.12469E+02  0.28850E+03  0.10852E+05  0.99969E+00
   10.5400   5.0110   8.4335   0.1101   1.1422  0.68363E+04  0.68343E+04  0.20231E+01  0.87549E+04  0.11460E+02  0.23886E+03  0.85046E+04  0.99972E+00
   10.5400   4.7070   8.9366   0.1100   1.2045  0.51998E+04  0.51984E+04  0.13807E+01  0.68152E+04  0.10573E+02  0.19984E+03  0.66048E+04  0.99975E+00
   10.5400   4.3880   9.5076   0.1101   1.2706  0.39049E+04  0.39040E+04  0.93340E+00  0.52580E+04  0.97165E+01  0.16875E+03  0.50795E+04  0.99978E+00
   10.5400   4.0510  10.1642   0.1101   1.3402  0.28883E+04  0.28877E+04  0.62344E+00  0.40169E+04  0.89464E+01  0.14439E+03  0.38636E+04  0.99982E+00
   10.5400   3.6950  10.9316   0.1100   1.4134  0.20987E+04  0.20983E+04  0.41063E+00  0.30373E+04  0.82595E+01  0.12529E+03  0.29038E+04  0.99984E+00
   10.5400   3.3200  11.8470   0.1100   1.4907  0.14931E+04  0.14928E+04  0.26602E+00  0.22710E+04  0.76261E+01  0.11050E+03  0.21528E+04  0.99987E+00
   10.5400   2.9250  12.9682   0.1101   1.5726  0.10347E+04  0.10345E+04  0.16876E+00  0.16779E+04  0.70425E+01  0.99200E+02  0.15716E+04  0.99988E+00
   10.5400   2.5070  14.3909   0.1100   1.6582  0.69281E+03  0.69270E+03  0.10411E+00  0.12244E+04  0.65561E+01  0.91149E+02  0.11267E+04  0.99986E+00
   10.5400   2.0670  16.2886   0.1100   1.7489  0.44276E+03  0.44269E+03  0.61761E-01  0.88158E+03  0.61149E+01  0.85789E+02  0.78967E+03  0.99980E+00
   10.5400   1.6030  19.0194   0.1100   1.8447  0.26383E+03  0.26380E+03  0.34475E-01  0.62475E+03  0.57483E+01  0.82987E+02  0.53601E+03  0.99961E+00
   10.5400   1.1140  23.4927   0.1100   1.9465  0.13943E+03  0.13941E+03  0.17253E-01  0.42577E+03  0.54864E+01  0.82294E+02  0.33799E+03  0.99908E+00
   10.5400   0.5970  33.1744   0.1099   2.0512  0.56222E+02  0.56215E+02  0.66956E-02  0.25666E+03  0.56846E+01  0.77128E+02  0.17385E+03  0.99715E+00
   10.5400   0.0530 161.0260   0.1105   2.1738  0.37767E+01  0.37763E+01  0.43740E-03  0.60261E+02  0.32941E+02  0.10821E+02  0.16499E+02  0.96865E+00
   10.5400   6.3360   7.1087   0.1301   1.0267  0.17547E+05  0.17538E+05  0.91925E+01  0.20082E+05  0.42404E+01  0.40472E+03  0.19673E+05  0.99990E+00
   10.5400   6.1050   7.4376   0.1301   1.0828  0.14006E+05  0.13999E+05  0.64924E+01  0.16205E+05  0.38858E+01  0.32531E+03  0.15876E+05  0.99993E+00
   10.5400   5.8620   7.7957   0.1301   1.1420  0.11100E+05  0.11095E+05  0.45562E+01  0.12998E+05  0.35545E+01  0.26277E+03  0.12732E+05  0.99996E+00
   10.5400   5.6060   8.1879   0.1301   1.2046  0.87266E+04  0.87235E+04  0.31747E+01  0.10359E+05  0.32481E+01  0.21358E+03  0.10142E+05  0.99999E+00
   10.5400   5.3350   8.6203   0.1301   1.2704  0.67996E+04  0.67974E+04  0.21937E+01  0.81973E+04  0.29778E+01  0.17595E+03  0.80183E+04  0.10000E+01
   10.5400   5.0500   9.1006   0.1301   1.3400  0.52480E+04  0.52465E+04  0.15037E+01  0.64369E+04  0.27237E+01  0.14444E+03  0.62897E+04  0.10001E+01
   10.5400   4.7490   9.6391   0.1301   1.4133  0.40066E+04  0.40055E+04  0.10210E+01  0.50138E+04  0.24949E+01  0.12049E+03  0.48908E+04  0.10001E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.30221E+04  0.30214E+04  0.68619E+00  0.38710E+04  0.22830E+01  0.10164E+03  0.37671E+04  0.10001E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.22478E+04  0.22473E+04  0.45566E+00  0.29603E+04  0.20952E+01  0.86954E+02  0.28713E+04  0.10002E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.16450E+04  0.16447E+04  0.29848E+00  0.22368E+04  0.19227E+01  0.75522E+02  0.21594E+04  0.10002E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.11809E+04  0.11807E+04  0.19232E+00  0.16764E+04  0.17647E+01  0.66705E+02  0.16079E+04  0.10003E+01
