                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.7260  10.8464  0.16639E+04  0.29285E+04  0.10606E+03  0.26085E+04  0.35117E+04  0.10687E+03  0.30750E+04
   10.5400   2.2980  12.1370  0.10621E+04  0.20837E+04  0.99032E+02  0.17917E+04  0.25569E+04  0.99969E+02  0.21594E+04
   10.5400   1.8470  13.9134  0.63444E+03  0.14503E+04  0.92890E+02  0.11809E+04  0.18281E+04  0.93942E+02  0.14619E+04
   10.5400   1.3700  16.6043  0.34116E+03  0.97906E+03  0.88589E+02  0.72941E+03  0.12720E+04  0.90002E+02  0.93316E+03
   10.5400   0.8680  21.4755  0.15107E+03  0.61819E+03  0.86596E+02  0.39383E+03  0.82615E+03  0.88240E+02  0.52414E+03
   10.5400   0.3380  35.6941  0.39003E+02  0.32226E+03  0.10040E+03  0.13529E+03  0.43067E+03  0.10399E+03  0.18900E+03
   10.5400   4.4640   8.4711  0.58358E+04  0.75485E+04  0.38709E+02  0.73007E+04  0.82758E+04  0.38675E+02  0.79177E+04
   10.5400   4.1310   9.0447  0.43187E+04  0.57352E+04  0.35745E+02  0.55216E+04  0.63491E+04  0.35777E+02  0.60414E+04
   10.5400   3.7800   9.7123  0.31386E+04  0.43057E+04  0.33017E+02  0.41194E+04  0.48212E+04  0.33106E+02  0.45538E+04
   10.5400   3.4100  10.5045  0.22317E+04  0.31903E+04  0.30515E+02  0.30259E+04  0.36216E+04  0.30652E+02  0.33862E+04
   10.5400   3.0190  11.4680  0.15443E+04  0.23300E+04  0.28302E+02  0.21829E+04  0.26898E+04  0.28481E+02  0.24797E+04
   10.5400   2.6070  12.6789  0.10324E+04  0.16747E+04  0.26301E+02  0.15411E+04  0.19738E+04  0.26515E+02  0.17832E+04
   10.5400   2.1720  14.2721  0.65862E+03  0.11827E+04  0.24576E+02  0.10593E+04  0.14306E+04  0.24821E+02  0.12546E+04
   10.5400   1.7140  16.5158  0.39258E+03  0.81476E+03  0.23061E+02  0.69874E+03  0.10172E+04  0.23334E+02  0.85160E+03
   10.5400   1.2310  20.0510  0.20936E+03  0.53745E+03  0.21963E+02  0.42680E+03  0.69629E+03  0.22342E+02  0.53797E+03
   10.5400   0.7210  27.0211  0.89033E+02  0.32202E+03  0.21789E+02  0.22102E+03  0.43463E+03  0.22155E+02  0.29033E+03
   10.5400   0.1830  56.8872  0.16086E+02  0.13209E+03  0.41409E+02  0.52769E+02  0.18896E+03  0.52992E+02  0.73265E+02
   10.5400   5.5700   7.5822  0.11421E+05  0.13381E+05  0.13672E+02  0.13135E+05  0.14096E+05  0.13569E+02  0.13731E+05
   10.5400   5.2980   7.9852  0.88822E+04  0.10533E+05  0.12542E+02  0.10330E+05  0.11153E+05  0.12469E+02  0.10852E+05
   10.5400   5.0110   8.4335  0.68363E+04  0.82205E+04  0.11506E+02  0.80513E+04  0.87549E+04  0.11460E+02  0.85046E+04
   10.5400   4.7070   8.9366  0.51998E+04  0.63562E+04  0.10598E+02  0.62139E+04  0.68152E+04  0.10573E+02  0.66048E+04
   10.5400   4.3880   9.5076  0.39049E+04  0.48662E+04  0.97213E+01  0.47453E+04  0.52580E+04  0.97165E+01  0.50795E+04
   10.5400   4.0510  10.1642  0.28883E+04  0.36841E+04  0.89348E+01  0.35800E+04  0.40169E+04  0.89464E+01  0.38636E+04
   10.5400   3.6950  10.9316  0.20987E+04  0.27555E+04  0.82341E+01  0.26647E+04  0.30373E+04  0.82595E+01  0.29038E+04
   10.5400   3.3200  11.8470  0.14931E+04  0.20333E+04  0.75890E+01  0.19529E+04  0.22710E+04  0.76261E+01  0.21528E+04
   10.5400   2.9250  12.9682  0.10347E+04  0.14780E+04  0.69956E+01  0.14057E+04  0.16779E+04  0.70425E+01  0.15716E+04
   10.5400   2.5070  14.3909  0.69281E+03  0.10565E+04  0.65006E+01  0.99003E+03  0.12244E+04  0.65561E+01  0.11267E+04
   10.5400   2.0670  16.2886  0.44276E+03  0.74078E+03  0.60519E+01  0.67829E+03  0.88158E+03  0.61149E+01  0.78967E+03
   10.5400   1.6030  19.0194  0.26383E+03  0.50721E+03  0.56782E+01  0.44699E+03  0.62475E+03  0.57483E+01  0.53601E+03
   10.5400   1.1140  23.4927  0.13943E+03  0.33120E+03  0.54082E+01  0.27181E+03  0.42577E+03  0.54864E+01  0.33799E+03
   10.5400   0.5970  33.1744  0.56222E+02  0.18961E+03  0.55882E+01  0.13380E+03  0.25666E+03  0.56846E+01  0.17385E+03
   10.5400   0.0530 161.0260  0.37767E+01  0.36521E+02  0.20052E+02  0.11912E+02  0.60261E+02  0.32941E+02  0.16499E+02
   10.5400   6.3360   7.1087  0.17547E+05  0.19514E+05  0.42969E+01  0.19239E+05  0.20082E+05  0.42404E+01  0.19673E+05
   10.5400   6.1050   7.4376  0.14006E+05  0.15694E+05  0.39306E+01  0.15472E+05  0.16205E+05  0.38858E+01  0.15876E+05
   10.5400   5.8620   7.7957  0.11100E+05  0.12541E+05  0.35890E+01  0.12363E+05  0.12998E+05  0.35545E+01  0.12732E+05
   10.5400   5.6060   8.1879  0.87266E+04  0.99532E+04  0.32739E+01  0.98077E+04  0.10359E+05  0.32481E+01  0.10142E+05
   10.5400   5.3350   8.6203  0.67996E+04  0.78393E+04  0.29960E+01  0.77194E+04  0.81973E+04  0.29778E+01  0.80183E+04
   10.5400   5.0500   9.1006  0.52480E+04  0.61239E+04  0.27356E+01  0.60253E+04  0.64369E+04  0.27237E+01  0.62897E+04
   10.5400   4.7490   9.6391  0.40066E+04  0.47416E+04  0.25013E+01  0.46591E+04  0.50138E+04  0.24949E+01  0.48908E+04
   10.5400   4.4320  10.2492  0.30221E+04  0.36358E+04  0.22848E+01  0.35661E+04  0.38710E+04  0.22830E+01  0.37671E+04
   10.5400   4.0970  10.9495  0.22478E+04  0.27581E+04  0.20931E+01  0.26984E+04  0.29603E+04  0.20952E+01  0.28713E+04
   10.5400   3.7440  11.7661  0.16450E+04  0.20650E+04  0.19173E+01  0.20131E+04  0.22368E+04  0.19227E+01  0.21594E+04
   10.5400   3.3720  12.7374  0.11809E+04  0.15294E+04  0.17566E+01  0.14834E+04  0.16764E+04  0.17647E+01  0.16079E+04
   10.5400   2.9790  13.9224  0.82763E+03  0.11147E+04  0.16169E+01  0.10732E+04  0.12396E+04  0.16273E+01  0.11778E+04
   10.5400   2.5650  15.4182  0.56255E+03  0.79888E+03  0.14900E+01  0.76057E+03  0.90482E+03  0.15023E+01  0.84766E+03
   10.5400   2.1280  17.3984  0.36668E+03  0.56157E+03  0.13820E+01  0.52516E+03  0.65152E+03  0.13960E+01  0.59716E+03
   10.5400   1.6670  20.2141  0.22460E+03  0.38559E+03  0.12939E+01  0.34987E+03  0.46205E+03  0.13095E+01  0.40864E+03
   10.5400   1.1810  24.7272  0.12381E+03  0.25589E+03  0.12330E+01  0.21964E+03  0.32039E+03  0.12504E+01  0.26607E+03
   10.5400   0.6690  33.9881  0.54276E+02  0.15240E+03  0.12808E+01  0.11555E+03  0.20184E+03  0.13568E+01  0.14629E+03
   10.5400   0.1280  86.6338  0.80174E+01  0.42423E+02  0.47093E+01  0.22840E+02  0.60542E+02  0.82197E+01  0.29016E+02
   10.5400   6.8970   6.8128  0.23649E+05  0.25422E+05  0.13261E+01  0.25101E+05  0.25749E+05  0.13023E+01  0.25275E+05
   10.5400   6.6980   7.1007  0.19190E+05  0.20736E+05  0.12002E+01  0.20482E+05  0.21054E+05  0.11809E+01  0.20678E+05
   10.5400   6.4870   7.4103  0.15482E+05  0.16828E+05  0.10916E+01  0.16626E+05  0.17131E+05  0.10759E+01  0.16833E+05
   10.5400   6.2650   7.7447  0.12415E+05  0.13582E+05  0.99083E+00  0.13421E+05  0.13868E+05  0.97830E+00  0.13629E+05
   10.5400   6.0300   8.1075  0.98894E+04  0.10897E+05  0.90240E+00  0.10768E+05  0.11163E+05  0.89258E+00  0.10972E+05
   10.5400   5.7830   8.5033  0.78215E+04  0.86876E+04  0.81943E+00  0.85838E+04  0.89317E+04  0.81195E+00  0.87772E+04
   10.5400   5.5220   8.9375  0.61372E+04  0.68784E+04  0.74573E+00  0.67942E+04  0.71001E+04  0.74024E+00  0.69746E+04
   10.5400   5.2470   9.4174  0.47741E+04  0.54049E+04  0.67805E+00  0.53359E+04  0.56041E+04  0.67426E+00  0.55011E+04
   10.5400   4.9570   9.9519  0.36786E+04  0.42125E+04  0.61675E+00  0.41555E+04  0.43897E+04  0.61440E+00  0.43045E+04
   10.5400   4.6510  10.5531  0.28042E+04  0.32540E+04  0.56147E+00  0.32061E+04  0.34100E+04  0.56032E+00  0.33387E+04
   10.5400   4.3290  11.2369  0.21124E+04  0.24887E+04  0.51006E+00  0.24484E+04  0.26252E+04  0.50993E+00  0.25648E+04
   10.5400   3.9880  12.0254  0.15692E+04  0.18831E+04  0.46625E+00  0.18483E+04  0.20016E+04  0.46697E+00  0.19496E+04
   10.5400   3.6290  12.9503  0.11470E+04  0.14075E+04  0.42576E+00  0.13771E+04  0.15098E+04  0.42719E+00  0.14643E+04
   10.5400   3.2510  14.0586  0.82236E+03  0.10378E+04  0.38840E+00  0.10107E+04  0.11256E+04  0.39040E+00  0.10850E+04
   10.5400   2.8510  15.4240  0.57540E+03  0.75355E+03  0.35747E+00  0.72868E+03  0.82883E+03  0.35996E+00  0.79159E+03
   10.5400   2.4300  17.1709  0.39001E+03  0.53738E+03  0.32904E+00  0.51396E+03  0.60190E+03  0.33196E+00  0.56683E+03
   10.5400   1.9860  19.5292  0.25279E+03  0.37520E+03  0.30482E+00  0.35239E+03  0.43070E+03  0.30810E+00  0.39651E+03
   10.5400   1.5170  22.9885  0.15287E+03  0.25525E+03  0.28754E+00  0.23211E+03  0.30328E+03  0.29120E+00  0.26855E+03
   10.5400   1.0230  28.8638  0.81471E+02  0.16667E+03  0.27921E+00  0.14222E+03  0.20799E+03  0.28340E+00  0.17122E+03
   10.5400   0.5020  42.8753  0.31548E+02  0.93293E+02  0.33545E+00  0.68005E+02  0.12447E+03  0.36437E+00  0.86124E+02
   10.5400   7.3270   6.6099  0.29476E+05  0.30907E+05  0.47200E+00  0.30530E+05  0.30931E+05  0.46160E+00  0.30381E+05
   10.5400   7.1510   6.8719  0.24160E+05  0.25434E+05  0.42764E+00  0.25138E+05  0.25503E+05  0.41896E+00  0.25070E+05
   10.5400   6.9650   7.1514  0.19718E+05  0.20849E+05  0.38823E+00  0.20617E+05  0.20949E+05  0.38102E+00  0.20609E+05
   10.5400   6.7690   7.4505  0.16019E+05  0.17020E+05  0.35300E+00  0.16837E+05  0.17140E+05  0.34706E+00  0.16871E+05
   10.5400   6.5620   7.7718  0.12946E+05  0.13828E+05  0.32043E+00  0.13684E+05  0.13961E+05  0.31560E+00  0.13748E+05
   10.5400   6.3440   8.1183  0.10404E+05  0.11178E+05  0.29110E+00  0.11064E+05  0.11316E+05  0.28722E+00  0.11147E+05
   10.5400   6.1140   8.4936  0.83100E+04  0.89864E+04  0.26466E+00  0.88956E+04  0.91242E+04  0.26160E+00  0.89897E+04
   10.5400   5.8710   8.9022  0.65922E+04  0.71815E+04  0.24098E+00  0.71087E+04  0.73159E+04  0.23862E+00  0.72081E+04
   10.5400   5.6150   9.3496  0.51915E+04  0.56999E+04  0.21929E+00  0.56412E+04  0.58272E+04  0.21753E+00  0.57400E+04
   10.5400   5.3450   9.8427  0.40556E+04  0.44926E+04  0.19972E+00  0.44449E+04  0.46114E+04  0.19847E+00  0.45404E+04
   10.5400   5.0600  10.3904  0.31402E+04  0.35136E+04  0.18210E+00  0.34744E+04  0.36226E+04  0.18128E+00  0.35642E+04
   10.5400   4.7600  11.0043  0.24078E+04  0.27247E+04  0.16589E+00  0.26922E+04  0.28233E+04  0.16543E+00  0.27747E+04
   10.5400   4.4430  11.6997  0.18259E+04  0.20935E+04  0.15148E+00  0.20660E+04  0.21815E+04  0.15134E+00  0.21406E+04
   10.5400   4.1090  12.4976  0.13675E+04  0.15920E+04  0.13832E+00  0.15685E+04  0.16699E+04  0.13844E+00  0.16348E+04
   10.5400   3.7570  13.4276  0.10094E+04  0.11968E+04  0.12660E+00  0.11764E+04  0.12651E+04  0.12694E+00  0.12346E+04
   10.5400   3.3850  14.5332  0.73230E+03  0.88819E+03  0.11603E+00  0.87002E+03  0.94762E+03  0.11655E+00  0.92047E+03
   10.5400   2.9930  15.8812  0.52007E+03  0.64940E+03  0.10673E+00  0.63282E+03  0.70090E+03  0.10740E+00  0.67613E+03
   10.5400   2.5800  17.5813  0.35930E+03  0.46662E+03  0.98435E-01  0.45105E+03  0.51119E+03  0.99237E-01  0.48792E+03
   10.5400   2.1440  19.8289  0.23901E+03  0.32851E+03  0.91567E-01  0.31334E+03  0.36727E+03  0.92487E-01  0.34458E+03
   10.5400   1.6840  23.0183  0.15019E+03  0.22556E+03  0.86340E-01  0.21012E+03  0.25955E+03  0.87378E-01  0.23643E+03
   10.5400   1.1980  28.1120  0.85583E+02  0.14983E+03  0.84359E-01  0.13327E+03  0.17998E+03  0.85555E-01  0.15514E+03
   10.5400   0.6870  38.4765  0.39278E+02  0.92268E+02  0.92214E-01  0.73829E+02  0.11813E+03  0.93922E-01  0.90369E+02
   10.5400   0.1470  93.9802  0.66484E+01  0.28382E+02  0.39870E+00  0.17249E+02  0.42673E+02  0.65622E+00  0.23376E+02
   10.5400   7.6660   6.4620  0.34986E+05  0.35956E+05  0.25344E+00  0.35517E+05  0.35635E+05  0.24693E+00  0.35001E+05
   10.5400   7.5080   6.7061  0.28841E+05  0.29744E+05  0.23074E+00  0.29402E+05  0.29528E+05  0.22521E+00  0.29032E+05
   10.5400   7.3420   6.9650  0.23709E+05  0.24538E+05  0.21041E+00  0.24271E+05  0.24402E+05  0.20573E+00  0.24014E+05
   10.5400   7.1660   7.2405  0.19418E+05  0.20176E+05  0.19227E+00  0.19967E+05  0.20102E+05  0.18834E+00  0.19798E+05
   10.5400   6.9810   7.5343  0.15844E+05  0.16532E+05  0.17561E+00  0.16369E+05  0.16504E+05  0.17232E+00  0.16266E+05
   10.5400   6.7860   7.8487  0.12872E+05  0.13491E+05  0.16043E+00  0.13363E+05  0.13498E+05  0.15770E+00  0.13311E+05
   10.5400   6.5800   8.1863  0.10405E+05  0.10961E+05  0.14669E+00  0.10861E+05  0.10992E+05  0.14445E+00  0.10845E+05
   10.5400   6.3630   8.5502  0.83669E+04  0.88620E+04  0.13412E+00  0.87830E+04  0.89100E+04  0.13231E+00  0.87937E+04
   10.5400   6.1340   8.9443  0.66880E+04  0.71268E+04  0.12269E+00  0.70642E+04  0.71853E+04  0.12124E+00  0.70930E+04
   10.5400   5.8930   9.3731  0.53121E+04  0.56983E+04  0.11217E+00  0.56484E+04  0.57625E+04  0.11105E+00  0.56889E+04
   10.5400   5.6380   9.8424  0.41893E+04  0.45272E+04  0.10273E+00  0.44872E+04  0.45937E+04  0.10189E+00  0.45345E+04
   10.5400   5.3690  10.3594  0.32785E+04  0.35721E+04  0.94126E-01  0.35397E+04  0.36381E+04  0.93518E-01  0.35900E+04
   10.5400   5.0860  10.9333  0.25442E+04  0.27974E+04  0.86181E-01  0.27709E+04  0.28607E+04  0.85777E-01  0.28213E+04
   10.5400   4.7870  11.5759  0.19560E+04  0.21728E+04  0.79025E-01  0.21509E+04  0.22322E+04  0.78795E-01  0.21995E+04
   10.5400   4.4720  12.3031  0.14881E+04  0.16726E+04  0.72482E-01  0.16541E+04  0.17272E+04  0.72400E-01  0.16997E+04
   10.5400   4.1390  13.1367  0.11188E+04  0.12747E+04  0.66633E-01  0.12589E+04  0.13241E+04  0.66678E-01  0.13006E+04
   10.5400   3.7880  14.1068  0.82968E+03  0.96070E+03  0.61340E-01  0.94695E+03  0.10049E+04  0.61492E-01  0.98440E+03
