 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   2.7260  10.8464   0.0700   1.0266  0.61763E+04  0.61754E+04  0.91263E+00  0.12626E+05  0.37298E+03  0.10220E+04  0.11231E+05  0.99767E+00
   10.5400   2.2980  12.1370   0.0700   1.0828  0.39316E+04  0.39310E+04  0.56741E+00  0.91162E+04  0.34881E+03  0.91990E+03  0.78475E+04  0.99742E+00
   10.5400   1.8470  13.9134   0.0700   1.1423  0.23388E+04  0.23384E+04  0.33661E+00  0.64446E+04  0.32759E+03  0.83925E+03  0.52778E+04  0.99688E+00
   10.5400   1.3700  16.6043   0.0700   1.2042  0.12496E+04  0.12494E+04  0.18472E+00  0.44171E+04  0.31252E+03  0.76499E+03  0.33396E+04  0.99563E+00
   10.5400   0.8680  21.4755   0.0700   1.2703  0.54733E+03  0.54725E+03  0.86900E-01  0.28158E+04  0.30694E+03  0.65503E+03  0.18539E+04  0.99199E+00
   10.5400   0.3380  35.6941   0.0699   1.3385  0.13866E+03  0.13864E+03  0.25623E-01  0.15700E+04  0.49396E+03  0.41968E+03  0.65633E+03  0.97295E+00
   10.5400   4.4640   8.4711   0.0900   1.0266  0.21629E+05  0.21625E+05  0.44994E+01  0.30262E+05  0.12338E+03  0.99747E+03  0.29141E+05  0.99887E+00
   10.5400   4.1310   9.0447   0.0900   1.0828  0.15981E+05  0.15977E+05  0.30431E+01  0.23150E+05  0.11412E+03  0.84845E+03  0.22187E+05  0.99892E+00
   10.5400   3.7800   9.7123   0.0900   1.1421  0.11591E+05  0.11589E+05  0.20319E+01  0.17517E+05  0.10559E+03  0.73061E+03  0.16681E+05  0.99896E+00
   10.5400   3.4100  10.5045   0.0900   1.2047  0.82220E+04  0.82207E+04  0.13358E+01  0.13100E+05  0.97762E+02  0.63753E+03  0.12364E+05  0.99899E+00
   10.5400   3.0190  11.4680   0.0900   1.2705  0.56728E+04  0.56720E+04  0.86087E+00  0.96725E+04  0.90849E+02  0.56490E+03  0.90168E+04  0.99898E+00
   10.5400   2.6070  12.6789   0.0900   1.3401  0.37782E+04  0.37776E+04  0.54087E+00  0.70442E+04  0.84589E+02  0.50924E+03  0.64503E+04  0.99892E+00
   10.5400   2.1720  14.2721   0.0900   1.4131  0.23982E+04  0.23978E+04  0.32789E+00  0.50540E+04  0.79217E+02  0.46833E+03  0.45065E+04  0.99874E+00
   10.5400   1.7140  16.5158   0.0900   1.4907  0.14196E+04  0.14195E+04  0.18834E+00  0.35483E+04  0.74518E+02  0.43922E+03  0.30346E+04  0.99829E+00
   10.5400   1.2310  20.0510   0.0900   1.5729  0.74955E+03  0.74945E+03  0.98583E-01  0.23880E+04  0.71035E+02  0.41798E+03  0.18990E+04  0.99711E+00
   10.5400   0.7210  27.0211   0.0900   1.6591  0.31399E+03  0.31395E+03  0.42269E-01  0.14579E+04  0.71468E+02  0.37423E+03  0.10122E+04  0.99321E+00
   10.5400   0.1830  56.8872   0.0901   1.7503  0.55743E+02  0.55734E+02  0.80862E-02  0.77565E+03  0.33517E+03  0.19130E+03  0.24918E+03  0.96271E+00
   10.5400   5.5700   7.5822   0.1101   1.0266  0.42167E+05  0.42154E+05  0.13074E+02  0.51578E+05  0.45433E+02  0.11007E+04  0.50432E+05  0.99952E+00
   10.5400   5.2980   7.9852   0.1101   1.0829  0.32742E+05  0.32733E+05  0.90909E+01  0.40743E+05  0.41817E+02  0.90372E+03  0.39798E+05  0.99959E+00
   10.5400   5.0110   8.4335   0.1101   1.1422  0.25157E+05  0.25151E+05  0.62679E+01  0.31924E+05  0.38496E+02  0.74831E+03  0.31138E+05  0.99966E+00
   10.5400   4.7070   8.9366   0.1100   1.2045  0.19099E+05  0.19095E+05  0.42793E+01  0.24797E+05  0.35559E+02  0.62551E+03  0.24136E+05  0.99973E+00
   10.5400   4.3880   9.5076   0.1101   1.2706  0.14312E+05  0.14310E+05  0.28939E+01  0.19082E+05  0.32734E+02  0.52788E+03  0.18521E+05  0.99981E+00
   10.5400   4.0510  10.1642   0.1101   1.3402  0.10561E+05  0.10559E+05  0.19335E+01  0.14533E+05  0.30190E+02  0.45138E+03  0.14052E+05  0.99989E+00
   10.5400   3.6950  10.9316   0.1100   1.4134  0.76519E+04  0.76507E+04  0.12738E+01  0.10948E+05  0.27913E+02  0.39132E+03  0.10529E+05  0.99996E+00
   10.5400   3.3200  11.8470   0.1100   1.4907  0.54255E+04  0.54247E+04  0.82543E+00  0.81472E+04  0.25817E+02  0.34471E+03  0.77767E+04  0.10000E+01
   10.5400   2.9250  12.9682   0.1101   1.5726  0.37444E+04  0.37439E+04  0.52374E+00  0.59842E+04  0.23891E+02  0.30900E+03  0.56513E+04  0.10001E+01
   10.5400   2.5070  14.3909   0.1100   1.6582  0.24945E+04  0.24941E+04  0.32315E+00  0.43340E+04  0.22277E+02  0.28335E+03  0.40284E+04  0.10001E+01
   10.5400   2.0670  16.2886   0.1100   1.7489  0.15837E+04  0.15835E+04  0.19172E+00  0.30887E+04  0.20825E+02  0.26598E+03  0.28019E+04  0.10001E+01
   10.5400   1.6030  19.0194   0.1100   1.8447  0.93550E+03  0.93539E+03  0.10702E+00  0.21590E+04  0.19633E+02  0.25634E+03  0.18830E+04  0.99989E+00
   10.5400   1.1140  23.4927   0.1100   1.9465  0.48849E+03  0.48843E+03  0.53567E-01  0.14470E+04  0.18813E+02  0.25279E+03  0.11754E+04  0.99920E+00
   10.5400   0.5970  33.1744   0.1099   2.0512  0.19371E+03  0.19369E+03  0.20806E-01  0.85288E+03  0.19850E+02  0.23605E+03  0.59698E+03  0.99639E+00
