                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.7260  10.8464  0.61763E+04  0.10485E+05  0.36991E+03  0.94712E+04  0.12626E+05  0.37298E+03  0.11231E+05
   10.5400   2.2980  12.1370  0.39316E+04  0.73895E+04  0.34525E+03  0.64651E+04  0.91162E+04  0.34881E+03  0.78475E+04
   10.5400   1.8470  13.9134  0.23388E+04  0.50780E+04  0.32359E+03  0.42262E+04  0.64446E+04  0.32759E+03  0.52778E+04
   10.5400   1.3700  16.6043  0.12496E+04  0.33704E+04  0.30803E+03  0.25817E+04  0.44171E+04  0.31252E+03  0.33396E+04
   10.5400   0.8680  21.4755  0.54733E+03  0.20842E+04  0.30098E+03  0.13732E+04  0.28158E+04  0.30694E+03  0.18539E+04
   10.5400   0.3380  35.6941  0.13866E+03  0.11237E+04  0.40376E+03  0.46168E+03  0.15700E+04  0.49396E+03  0.65633E+03
   10.5400   4.4640   8.4711  0.21629E+05  0.27557E+05  0.12350E+03  0.26800E+05  0.30262E+05  0.12338E+03  0.29141E+05
   10.5400   4.1310   9.0447  0.15981E+05  0.20870E+05  0.11401E+03  0.20217E+05  0.23150E+05  0.11412E+03  0.22187E+05
   10.5400   3.7800   9.7123  0.11591E+05  0.15606E+05  0.10529E+03  0.15037E+05  0.17517E+05  0.10559E+03  0.16681E+05
   10.5400   3.4100  10.5045  0.82220E+04  0.11506E+05  0.97289E+02  0.11003E+05  0.13100E+05  0.97762E+02  0.12364E+05
   10.5400   3.0190  11.4680  0.56728E+04  0.83483E+04  0.90231E+02  0.78992E+04  0.96725E+04  0.90849E+02  0.90168E+04
   10.5400   2.6070  12.6789  0.37782E+04  0.59496E+04  0.83847E+02  0.55424E+04  0.70442E+04  0.84589E+02  0.64503E+04
   10.5400   2.1720  14.2721  0.23982E+04  0.41540E+04  0.78365E+02  0.37783E+04  0.50540E+04  0.79217E+02  0.45065E+04
   10.5400   1.7140  16.5158  0.14196E+04  0.28201E+04  0.73565E+02  0.24678E+04  0.35483E+04  0.74518E+02  0.30346E+04
   10.5400   1.2310  20.0510  0.74955E+03  0.18239E+04  0.69973E+02  0.14892E+04  0.23880E+04  0.71035E+02  0.18990E+04
   10.5400   0.7210  27.0211  0.31399E+03  0.10649E+04  0.69942E+02  0.75901E+03  0.14579E+04  0.71468E+02  0.10122E+04
   10.5400   0.1830  56.8872  0.55743E+02  0.48551E+03  0.19360E+03  0.17669E+03  0.77565E+03  0.33517E+03  0.24918E+03
   10.5400   5.5700   7.5822  0.42167E+05  0.48959E+05  0.45817E+02  0.48206E+05  0.51578E+05  0.45433E+02  0.50432E+05
   10.5400   5.2980   7.9852  0.32742E+05  0.38463E+05  0.42089E+02  0.37841E+05  0.40743E+05  0.41817E+02  0.39798E+05
   10.5400   5.0110   8.4335  0.25157E+05  0.29953E+05  0.38670E+02  0.29435E+05  0.31924E+05  0.38496E+02  0.31138E+05
   10.5400   4.7070   8.9366  0.19099E+05  0.23101E+05  0.35650E+02  0.22665E+05  0.24797E+05  0.35559E+02  0.24136E+05
   10.5400   4.3880   9.5076  0.14312E+05  0.17634E+05  0.32754E+02  0.17263E+05  0.19082E+05  0.32734E+02  0.18521E+05
   10.5400   4.0510  10.1642  0.10561E+05  0.13303E+05  0.30149E+02  0.12984E+05  0.14533E+05  0.30190E+02  0.14052E+05
   10.5400   3.6950  10.9316  0.76519E+04  0.99079E+04  0.27821E+02  0.96297E+04  0.10948E+05  0.27913E+02  0.10529E+05
   10.5400   3.3200  11.8470  0.54255E+04  0.72731E+04  0.25681E+02  0.70269E+04  0.81472E+04  0.25817E+02  0.77767E+04
   10.5400   2.9250  12.9682  0.37444E+04  0.52519E+04  0.23718E+02  0.50305E+04  0.59842E+04  0.23891E+02  0.56513E+04
   10.5400   2.5070  14.3909  0.24945E+04  0.37223E+04  0.22072E+02  0.35190E+04  0.43340E+04  0.22277E+02  0.40284E+04
   10.5400   2.0670  16.2886  0.15837E+04  0.25802E+04  0.20592E+02  0.23896E+04  0.30887E+04  0.20825E+02  0.28019E+04
   10.5400   1.6030  19.0194  0.93550E+03  0.17394E+04  0.19372E+02  0.15563E+04  0.21590E+04  0.19633E+02  0.18830E+04
   10.5400   1.1140  23.4927  0.48849E+03  0.11138E+04  0.18521E+02  0.93409E+03  0.14470E+04  0.18813E+02  0.11754E+04
   10.5400   0.5970  33.1744  0.19371E+03  0.62142E+03  0.19335E+02  0.45245E+03  0.85288E+03  0.19850E+02  0.59698E+03
   10.5400   0.0530 161.0260  0.12395E+02  0.11039E+03  0.54574E+02  0.37490E+02  0.18219E+03  0.91234E+02  0.52567E+02
   10.5400   6.3360   7.1087  0.64522E+05  0.71287E+05  0.18215E+02  0.70442E+05  0.73284E+05  0.17951E+02  0.71996E+05
   10.5400   6.1050   7.4376  0.51412E+05  0.57229E+05  0.16714E+02  0.56549E+05  0.59050E+05  0.16504E+02  0.58013E+05
   10.5400   5.8620   7.7957  0.40671E+05  0.45648E+05  0.15314E+02  0.45098E+05  0.47290E+05  0.15151E+02  0.46451E+05
   10.5400   5.6060   8.1879  0.31916E+05  0.36152E+05  0.14020E+02  0.35705E+05  0.37620E+05  0.13898E+02  0.36937E+05
   10.5400   5.3350   8.6203  0.24819E+05  0.28408E+05  0.12868E+02  0.28041E+05  0.29710E+05  0.12781E+02  0.29149E+05
   10.5400   5.0500   9.1006  0.19115E+05  0.22140E+05  0.11790E+02  0.21836E+05  0.23284E+05  0.11733E+02  0.22820E+05
   10.5400   4.7490   9.6391  0.14559E+05  0.17095E+05  0.10815E+02  0.16841E+05  0.18094E+05  0.10784E+02  0.17705E+05
   10.5400   4.4320  10.2492  0.10954E+05  0.13069E+05  0.99145E+01  0.12854E+05  0.13933E+05  0.99055E+01  0.13604E+05
   10.5400   4.0970  10.9495  0.81238E+04  0.98788E+04  0.91103E+01  0.96943E+04  0.10622E+05  0.91199E+01  0.10341E+05
   10.5400   3.7440  11.7661  0.59259E+04  0.73749E+04  0.83730E+01  0.72145E+04  0.80099E+04  0.83983E+01  0.77653E+04
   10.5400   3.3720  12.7374  0.42375E+04  0.54285E+04  0.76990E+01  0.52867E+04  0.59678E+04  0.77375E+01  0.57517E+04
   10.5400   2.9790  13.9224  0.29563E+04  0.39321E+04  0.71091E+01  0.38042E+04  0.43884E+04  0.71589E+01  0.41935E+04
   10.5400   2.5650  15.4182  0.19981E+04  0.27959E+04  0.65748E+01  0.26779E+04  0.31807E+04  0.66341E+01  0.30008E+04
   10.5400   2.1280  17.3984  0.12933E+04  0.19451E+04  0.61186E+01  0.18333E+04  0.22693E+04  0.61864E+01  0.20986E+04
   10.5400   1.6670  20.2141  0.78502E+03  0.13170E+04  0.57468E+01  0.12077E+04  0.15893E+04  0.58227E+01  0.14223E+04
   10.5400   1.1810  24.7272  0.42765E+03  0.85726E+03  0.54919E+01  0.74705E+03  0.10835E+04  0.55769E+01  0.91459E+03
   10.5400   0.6690  33.9881  0.18449E+03  0.49860E+03  0.55518E+01  0.38722E+03  0.66854E+03  0.56645E+01  0.49724E+03
   10.5400   0.1280  86.6338  0.26393E+02  0.15865E+03  0.38037E+02  0.73729E+02  0.25032E+03  0.85975E+02  0.93133E+02
   10.5400   6.8970   6.8128  0.86674E+05  0.92686E+05  0.76639E+01  0.91700E+05  0.93693E+05  0.75133E+01  0.92202E+05
   10.5400   6.6980   7.1007  0.70185E+05  0.75452E+05  0.69806E+01  0.74671E+05  0.76479E+05  0.68567E+01  0.75297E+05
   10.5400   6.4870   7.4103  0.56506E+05  0.61106E+05  0.63792E+01  0.60486E+05  0.62125E+05  0.62783E+01  0.61183E+05
   10.5400   6.2650   7.7447  0.45221E+05  0.49217E+05  0.58212E+01  0.48723E+05  0.50199E+05  0.57402E+01  0.49447E+05
   10.5400   6.0300   8.1075  0.35946E+05  0.39404E+05  0.53252E+01  0.39008E+05  0.40334E+05  0.52615E+01  0.39730E+05
   10.5400   5.7830   8.5033  0.28368E+05  0.31343E+05  0.48602E+01  0.31024E+05  0.32208E+05  0.48113E+01  0.31721E+05
   10.5400   5.5220   8.9375  0.22210E+05  0.24757E+05  0.44431E+01  0.24498E+05  0.25550E+05  0.44071E+01  0.25154E+05
   10.5400   5.2470   9.4174  0.17237E+05  0.19405E+05  0.40589E+01  0.19192E+05  0.20123E+05  0.40338E+01  0.19798E+05
   10.5400   4.9570   9.9519  0.13248E+05  0.15083E+05  0.37090E+01  0.14907E+05  0.15725E+05  0.36933E+01  0.15456E+05
   10.5400   4.6510  10.5531  0.10072E+05  0.11616E+05  0.33913E+01  0.11469E+05  0.12184E+05  0.33836E+01  0.11959E+05
   10.5400   4.3290  11.2369  0.75646E+04  0.88552E+04  0.30961E+01  0.87305E+04  0.93531E+04  0.30951E+01  0.91624E+04
   10.5400   3.9880  12.0254  0.56007E+04  0.66749E+04  0.28406E+01  0.65676E+04  0.71079E+04  0.28453E+01  0.69437E+04
   10.5400   3.6290  12.9503  0.40784E+04  0.49675E+04  0.26043E+01  0.48736E+04  0.53410E+04  0.26137E+01  0.51973E+04
   10.5400   3.2510  14.0586  0.29109E+04  0.36433E+04  0.23865E+01  0.35596E+04  0.39634E+04  0.23999E+01  0.38352E+04
   10.5400   2.8510  15.4240  0.20260E+04  0.26282E+04  0.22027E+01  0.25517E+04  0.29017E+04  0.22195E+01  0.27844E+04
   10.5400   2.4300  17.1709  0.13643E+04  0.18587E+04  0.20344E+01  0.17868E+04  0.20916E+04  0.20541E+01  0.19814E+04
   10.5400   1.9860  19.5292  0.87719E+03  0.12837E+04  0.18895E+01  0.12139E+04  0.14821E+04  0.19117E+01  0.13751E+04
   10.5400   1.5170  22.9885  0.52515E+03  0.86030E+03  0.17813E+01  0.78985E+03  0.10298E+04  0.18061E+01  0.92157E+03
