 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   2.7260  10.8464   0.0700   1.0266  0.32645E+04  0.32640E+04  0.53181E+00  0.68319E+04  0.21336E+03  0.60201E+03  0.60165E+04  0.99833E+00
   10.5400   2.2980  12.1370   0.0700   1.0828  0.20824E+04  0.20820E+04  0.33052E+00  0.49619E+04  0.19962E+03  0.54242E+03  0.42199E+04  0.99815E+00
   10.5400   1.8470  13.9134   0.0700   1.1423  0.12425E+04  0.12423E+04  0.19599E+00  0.35353E+04  0.18761E+03  0.49551E+03  0.28522E+04  0.99774E+00
   10.5400   1.3700  16.6043   0.0700   1.2042  0.66695E+03  0.66684E+03  0.10749E+00  0.24480E+04  0.17916E+03  0.45221E+03  0.18166E+04  0.99677E+00
   10.5400   0.8680  21.4755   0.0700   1.2703  0.29442E+03  0.29437E+03  0.50515E-01  0.15817E+04  0.17672E+03  0.38765E+03  0.10173E+04  0.99395E+00
   10.5400   0.3380  35.6941   0.0699   1.3385  0.75650E+02  0.75636E+02  0.14830E-01  0.91638E+03  0.30303E+03  0.24845E+03  0.36489E+03  0.97887E+00
   10.5400   4.4640   8.4711   0.0900   1.0266  0.11436E+05  0.11433E+05  0.26277E+01  0.16159E+05  0.75075E+02  0.58533E+03  0.15499E+05  0.99914E+00
   10.5400   4.1310   9.0447   0.0900   1.0828  0.84581E+04  0.84563E+04  0.17768E+01  0.12385E+05  0.69456E+02  0.49806E+03  0.11818E+05  0.99917E+00
   10.5400   3.7800   9.7123   0.0900   1.1421  0.61427E+04  0.61415E+04  0.11861E+01  0.93952E+04  0.64281E+02  0.42907E+03  0.89018E+04  0.99919E+00
   10.5400   3.4100  10.5045   0.0900   1.2047  0.43643E+04  0.43635E+04  0.77956E+00  0.70475E+04  0.59532E+02  0.37460E+03  0.66134E+04  0.99921E+00
   10.5400   3.0190  11.4680   0.0900   1.2705  0.30172E+04  0.30167E+04  0.50230E+00  0.52245E+04  0.55337E+02  0.33215E+03  0.48370E+04  0.99919E+00
   10.5400   2.6070  12.6789   0.0900   1.3401  0.20147E+04  0.20143E+04  0.31552E+00  0.38245E+04  0.51541E+02  0.29969E+03  0.34733E+04  0.99913E+00
   10.5400   2.1720  14.2721   0.0900   1.4131  0.12831E+04  0.12830E+04  0.19124E+00  0.27627E+04  0.48286E+02  0.27594E+03  0.24385E+04  0.99897E+00
   10.5400   1.7140  16.5158   0.0900   1.4907  0.76316E+03  0.76305E+03  0.10982E+00  0.19563E+04  0.45452E+02  0.25921E+03  0.16516E+04  0.99859E+00
   10.5400   1.2310  20.0510   0.0900   1.5729  0.40567E+03  0.40562E+03  0.57465E-01  0.13314E+04  0.43379E+02  0.24716E+03  0.10408E+04  0.99763E+00
   10.5400   0.7210  27.0211   0.0900   1.6591  0.17169E+03  0.17167E+03  0.24617E-01  0.82534E+03  0.43840E+02  0.22151E+03  0.55999E+03  0.99453E+00
   10.5400   0.1830  56.8872   0.0901   1.7503  0.30890E+02  0.30886E+02  0.46793E-02  0.47224E+03  0.21914E+03  0.11289E+03  0.14020E+03  0.97011E+00
   10.5400   5.5700   7.5822   0.1101   1.0266  0.22339E+05  0.22332E+05  0.76447E+01  0.27492E+05  0.28956E+02  0.64484E+03  0.26818E+05  0.99957E+00
   10.5400   5.2980   7.9852   0.1101   1.0829  0.17362E+05  0.17357E+05  0.53144E+01  0.21741E+05  0.26658E+02  0.52950E+03  0.21185E+05  0.99962E+00
   10.5400   5.0110   8.4335   0.1101   1.1422  0.13354E+05  0.13351E+05  0.36635E+01  0.17057E+05  0.24547E+02  0.43853E+03  0.16594E+05  0.99967E+00
   10.5400   4.7070   8.9366   0.1100   1.2045  0.10150E+05  0.10148E+05  0.25007E+01  0.13269E+05  0.22678E+02  0.36665E+03  0.12880E+05  0.99972E+00
   10.5400   4.3880   9.5076   0.1101   1.2706  0.76166E+04  0.76149E+04  0.16909E+01  0.10229E+05  0.20882E+02  0.30951E+03  0.98989E+04  0.99977E+00
   10.5400   4.0510  10.1642   0.1101   1.3402  0.56287E+04  0.56276E+04  0.11296E+01  0.78076E+04  0.19265E+02  0.26476E+03  0.75236E+04  0.99981E+00
   10.5400   3.6950  10.9316   0.1100   1.4134  0.40859E+04  0.40851E+04  0.74411E+00  0.58951E+04  0.17816E+02  0.22964E+03  0.56477E+04  0.99986E+00
   10.5400   3.3200  11.8470   0.1100   1.4907  0.29034E+04  0.29029E+04  0.48213E+00  0.44026E+04  0.16483E+02  0.20241E+03  0.41837E+04  0.99990E+00
   10.5400   2.9250  12.9682   0.1101   1.5726  0.20092E+04  0.20089E+04  0.30589E+00  0.32467E+04  0.15259E+02  0.18157E+03  0.30499E+04  0.99993E+00
   10.5400   2.5070  14.3909   0.1100   1.6582  0.13430E+04  0.13428E+04  0.18872E+00  0.23637E+04  0.14232E+02  0.16667E+03  0.21828E+04  0.99993E+00
   10.5400   2.0670  16.2886   0.1100   1.7489  0.85635E+03  0.85624E+03  0.11196E+00  0.16961E+04  0.13310E+02  0.15666E+03  0.15262E+04  0.99987E+00
   10.5400   1.6030  19.0194   0.1100   1.8447  0.50878E+03  0.50871E+03  0.62501E-01  0.11966E+04  0.12556E+02  0.15125E+03  0.10327E+04  0.99965E+00
   10.5400   1.1140  23.4927   0.1100   1.9465  0.26778E+03  0.26775E+03  0.31281E-01  0.81111E+03  0.12045E+02  0.14956E+03  0.64951E+03  0.99902E+00
   10.5400   0.5970  33.1744   0.1099   2.0512  0.10737E+03  0.10736E+03  0.12146E-01  0.48566E+03  0.12775E+02  0.13981E+03  0.33307E+03  0.99662E+00
   10.5400   0.0530 161.0260   0.1105   2.1738  0.71063E+01  0.71055E+01  0.78915E-03  0.10536E+03  0.53965E+02  0.20691E+02  0.30704E+02  0.97327E+00
   10.5400   6.3360   7.1087   0.1301   1.0267  0.34255E+05  0.34238E+05  0.16624E+02  0.39087E+05  0.11844E+02  0.74342E+03  0.38331E+05  0.99993E+00
   10.5400   6.1050   7.4376   0.1301   1.0828  0.27322E+05  0.27311E+05  0.11743E+02  0.31525E+05  0.10892E+02  0.59757E+03  0.30916E+05  0.99997E+00
   10.5400   5.8620   7.7957   0.1301   1.1420  0.21637E+05  0.21628E+05  0.82429E+01  0.25273E+05  0.10002E+02  0.48268E+03  0.24781E+05  0.10000E+01
   10.5400   5.6060   8.1879   0.1301   1.2046  0.16998E+05  0.16992E+05  0.57446E+01  0.20129E+05  0.91773E+01  0.39224E+03  0.19728E+05  0.10001E+01
   10.5400   5.3350   8.6203   0.1301   1.2704  0.13234E+05  0.13230E+05  0.39702E+01  0.15917E+05  0.84414E+01  0.32118E+03  0.15587E+05  0.10001E+01
   10.5400   5.0500   9.1006   0.1301   1.3400  0.10206E+05  0.10203E+05  0.27219E+01  0.12492E+05  0.77515E+01  0.26524E+03  0.12219E+05  0.10002E+01
   10.5400   4.7490   9.6391   0.1301   1.4133  0.77846E+04  0.77828E+04  0.18483E+01  0.97231E+04  0.71263E+01  0.22122E+03  0.94947E+04  0.10002E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.58662E+04  0.58649E+04  0.12423E+01  0.75006E+04  0.65474E+01  0.18657E+03  0.73075E+04  0.10003E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.43585E+04  0.43577E+04  0.82500E+00  0.57306E+04  0.60296E+01  0.15956E+03  0.55650E+04  0.10004E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.31860E+04  0.31854E+04  0.54043E+00  0.43321E+04  0.55541E+01  0.13853E+03  0.41880E+04  0.10004E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.22839E+04  0.22835E+04  0.34822E+00  0.32372E+04  0.51187E+01  0.12229E+03  0.31098E+04  0.10005E+01
   10.5400   2.9790  13.9224   0.1300   1.8448  0.15981E+04  0.15978E+04  0.21980E+00  0.23896E+04  0.47372E+01  0.11028E+03  0.22746E+04  0.10006E+01
   10.5400   2.5650  15.4182   0.1300   1.9459  0.10841E+04  0.10839E+04  0.13505E+00  0.17403E+04  0.43916E+01  0.10185E+03  0.16341E+04  0.10007E+01
   10.5400   2.1280  17.3984   0.1300   2.0523  0.70488E+03  0.70480E+03  0.79929E-01  0.12494E+04  0.40967E+01  0.96794E+02  0.11485E+04  0.10008E+01
   10.5400   1.6670  20.2141   0.1300   2.1644  0.43039E+03  0.43034E+03  0.44679E-01  0.88243E+03  0.38577E+01  0.95047E+02  0.78352E+03  0.10009E+01
   10.5400   1.1810  24.7272   0.1300   2.2827  0.23626E+03  0.23624E+03  0.22602E-01  0.60843E+03  0.36977E+01  0.96541E+02  0.50819E+03  0.10009E+01
   10.5400   0.6690  33.9881   0.1301   2.4094  0.10299E+03  0.10298E+03  0.91387E-02  0.38066E+03  0.37656E+01  0.98217E+02  0.27868E+03  0.10008E+01
