EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS TIN                                                                
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 50,119);   avgA = 119.000; amuM=118.891; avgM=110.747
 targ= ordina; ttarg(rl)=0.02345; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540 10.846  1.03   16.10   55.48   11.70    6.49   73.68  0.651
   2.726  0.070 14.52   27.64   84.61   18.47    6.55  109.63 3.259E+03

  10.540 12.137  1.08   22.30   67.07   16.53    9.51   93.11  0.635
   2.298  0.070 15.26   39.00  103.02   26.10    9.60  138.72 2.079E+03

  10.540 13.913  1.14   33.22   84.08   25.31   14.95  124.34  0.617
   1.847  0.070 16.05   59.53  130.08   39.97   15.13  185.18 1.240E+03

  10.540 16.604  1.20   54.36  111.17   43.01   26.57  180.75  0.599
   1.370  0.070 16.88  100.19  173.26   68.02   26.95  268.24 6.648E+02

  10.540 21.476  1.27  101.61  157.67   83.42   59.18  300.27  0.572
   0.868  0.070 17.76  193.87  247.64  132.47   60.39  440.50 2.926E+02

  10.540 35.694  1.34  247.59  247.23  207.04  326.12  780.39  0.515
   0.338  0.070 18.69  497.87  392.75  335.51  409.21 1137.48 7.405E+01

  10.540  8.471  1.03    4.64   24.65    3.28    0.66   28.58  0.721
   4.464  0.090 11.26    7.47   35.65    5.12    0.66   41.43 1.143E+04

  10.540  9.045  1.08    5.34   27.33    3.77    0.82   31.91  0.714
   4.131  0.090 11.82    8.64   39.84    5.89    0.82   46.56 8.451E+03

  10.540  9.712  1.14    6.31   30.64    4.47    1.04   36.15  0.707
   3.780  0.090 12.42   10.27   45.03    6.99    1.05   53.07 6.138E+03

  10.540 10.505  1.20    7.70   34.86    5.49    1.36   41.71  0.698
   3.410  0.090 13.06   12.65   51.65    8.59    1.37   61.61 4.361E+03

  10.540 11.468  1.27    9.77   40.46    7.04    1.82   49.32  0.686
   3.019  0.090 13.72   16.24   60.45   11.02    1.84   73.30 3.015E+03

  10.540 12.679  1.34   12.99   48.16    9.51    2.54   60.22  0.672
   2.607  0.090 14.43   21.94   72.55   14.89    2.56   90.00 2.013E+03

  10.540 14.272  1.41   18.39   59.41   13.75    3.73   76.89  0.654
   2.172  0.090 15.17   31.69   90.24   21.53    3.77  115.53 1.282E+03

  10.540 16.516  1.49   28.25   76.22   21.71    5.89  103.82  0.630
   1.714  0.090 15.95   50.01  116.73   34.01    5.96  156.71 7.621E+02

  10.540 20.051  1.57   48.71  101.78   38.93   10.56  151.27  0.601
   1.231  0.090 16.78   89.44  157.17   61.07   10.72  228.96 4.047E+02

  10.540 27.021  1.66   97.69  146.32   82.26   25.11  253.69  0.571
   0.721  0.090 17.65  187.41  227.96  129.73   25.68  383.36 1.708E+02

  10.540 56.887  1.75  260.22  232.17  225.99  416.41  874.57  0.497
   0.183  0.090 18.57  536.77  367.86  376.72  731.28 1475.86 2.997E+01

  10.540  7.582  1.03    2.58   14.72    1.87    0.13   16.72  0.766
   5.570  0.110  9.18    4.05   20.10    2.89    0.13   23.12 2.233E+04

  10.540  7.985  1.08    2.75   15.99    1.97    0.15   18.11  0.761
   5.298  0.110  9.63    4.31   22.06    3.05    0.15   25.27 1.736E+04

  10.540  8.434  1.14    2.97   17.44    2.12    0.18   19.74  0.756
   5.011  0.110 10.11    4.68   24.30    3.28    0.18   27.77 1.335E+04

  10.540  8.937  1.20    3.29   19.13    2.33    0.22   21.68  0.751
   4.707  0.110 10.62    5.18   26.93    3.61    0.22   30.77 1.015E+04

  10.540  9.508  1.27    3.71   21.10    2.62    0.27   24.00  0.745
   4.388  0.110 11.15    5.87   30.00    4.06    0.27   34.33 7.615E+03

  10.540 10.164  1.34    4.29   23.48    3.03    0.34   26.85  0.738
   4.051  0.110 11.72    6.83   33.69    4.70    0.34   38.74 5.628E+03

  10.540 10.932  1.41    5.11   26.41    3.62    0.43   30.46  0.730
   3.695  0.110 12.31    8.19   38.24    5.62    0.44   44.30 4.085E+03

  10.540 11.847  1.49    6.30   30.17    4.49    0.56   35.22  0.719
   3.320  0.110 12.94   10.18   44.11    6.97    0.57   51.65 2.903E+03

  10.540 12.968  1.57    8.06   35.11    5.82    0.75   41.67  0.707
   2.925  0.110 13.60   13.20   51.81    9.04    0.76   61.61 2.009E+03

  10.540 14.391  1.66   10.87   41.98    7.98    1.05   51.02  0.690
   2.507  0.110 14.30   18.10   62.55   12.41    1.06   76.02 1.343E+03

  10.540 16.289  1.75   15.65   52.03   11.76    1.54   65.33  0.670
   2.067  0.110 15.03   26.63   78.24   18.30    1.55   98.09 8.562E+02

  10.540 19.019  1.84   24.64   67.89   19.10    2.44   89.44  0.642
   1.603  0.110 15.81   43.21  103.06   29.74    2.47  135.27 5.086E+02

  10.540 23.493  1.95   44.45   93.17   35.85    4.43  133.46  0.604
   1.114  0.110 16.62   81.32  142.79   55.91    4.50  203.20 2.675E+02

  10.540 33.174  2.05   96.72  136.41   83.24   11.62  231.27  0.567
   0.597  0.110 17.49  186.92  211.25  130.65   11.94  353.84 1.070E+02

  10.540161.026  2.17  114.86  216.74  134.96  475.72  827.43  1.144
   0.053  0.110 18.39  178.73  343.93  299.16  780.24 1423.33 6.916E+00

  10.540  7.109  1.03    1.89    9.41    1.42    0.04   10.87  0.802
   6.336  0.130  7.74    2.92   11.91    2.17    0.03   14.11 3.425E+04

  10.540  7.438  1.08    1.92   10.23    1.43    0.04   11.70  0.798
   6.105  0.130  8.12    2.97   13.16    2.19    0.04   15.38 2.732E+04

  10.540  7.796  1.14    1.98   11.13    1.45    0.05   12.63  0.793
   5.862  0.130  8.52    3.06   14.53    2.23    0.05   16.81 2.164E+04

  10.540  8.188  1.20    2.06   12.12    1.50    0.05   13.67  0.789
   5.606  0.130  8.93    3.20   16.05    2.31    0.05   18.41 1.700E+04

  10.540  8.620  1.27    2.19   13.24    1.58    0.06   14.88  0.784
   5.335  0.130  9.38    3.39   17.77    2.43    0.06   20.26 1.324E+04

  10.540  9.101  1.34    2.37   14.50    1.69    0.08   16.26  0.780
   5.050  0.130  9.84    3.67   19.71    2.60    0.08   22.38 1.021E+04

  10.540  9.639  1.41    2.60   15.95    1.84    0.09   17.88  0.774
   4.749  0.130 10.33    4.05   21.94    2.84    0.09   24.87 7.786E+03

  10.540 10.249  1.49    2.93   17.63    2.06    0.11   19.80  0.768
   4.432  0.130 10.85    4.56   24.53    3.18    0.11   27.82 5.868E+03

  10.540 10.950  1.57    3.38   19.63    2.37    0.14   22.14  0.761
   4.097  0.130 11.40    5.28   27.63    3.66    0.14   31.43 4.360E+03

  10.540 11.766  1.66    4.00   22.06    2.81    0.17   25.05  0.752
   3.744  0.130 11.98    6.30   31.39    4.35    0.17   35.91 3.187E+03

  10.540 12.737  1.75    4.91   25.10    3.46    0.22   28.78  0.742
   3.372  0.130 12.58    7.78   36.09    5.35    0.22   41.67 2.285E+03

  10.540 13.922  1.84    6.25   29.06    4.46    0.29   33.82  0.729
   2.979  0.130 13.22   10.03   42.24    6.90    0.30   49.44 1.599E+03

  10.540 15.418  1.95    8.35   34.46    6.07    0.40   40.94  0.713
   2.565  0.130 13.90   13.62   50.63    9.39    0.40   60.42 1.085E+03

  10.540 17.398  2.05   11.89   42.30    8.87    0.57   51.75  0.692
   2.128  0.130 14.61   19.83   62.81   13.72    0.58   77.11 7.054E+02

  10.540 20.214  2.16   18.48   54.56   14.26    0.88   69.70  0.664
   1.667  0.130 15.37   31.77   81.89   22.06    0.90  104.85 4.308E+02

  10.540 24.727  2.28   32.78   75.74   26.34    1.54  103.61  0.625
   1.181  0.130 16.16   58.74  114.89   40.82    1.56  157.28 2.365E+02

  10.540 33.988  2.41   71.69  111.00   61.21    3.58  175.80  0.576
   0.669  0.130 16.99  136.55  170.38   95.29    3.65  269.32 1.031E+02

  10.540 86.634  2.54  186.15  181.18  179.38  169.97  530.53  0.536
   0.128  0.130 17.88  393.32  257.24  277.28  382.43  916.95 1.508E+01

  10.540  6.813  1.03    1.59    5.94    1.25    0.01    7.20  0.831
   6.897  0.150  6.69    2.44    6.60    1.88    0.01    8.49 4.610E+04

  10.540  7.101  1.08    1.57    6.53    1.22    0.01    7.76  0.828
   6.698  0.150  7.01    2.41    7.49    1.84    0.01    9.35 3.738E+04

  10.540  7.410  1.14    1.56    7.17    1.20    0.01    8.39  0.824
   6.487  0.150  7.34    2.40    8.48    1.82    0.01   10.31 3.013E+04

  10.540  7.745  1.20    1.57    7.87    1.19    0.02    9.08  0.820
   6.265  0.150  7.70    2.41    9.54    1.81    0.02   11.36 2.414E+04

  10.540  8.108  1.27    1.61    8.65    1.20    0.02    9.86  0.815
   6.030  0.150  8.07    2.46   10.72    1.82    0.02   12.56 1.922E+04

  10.540  8.503  1.34    1.66    9.49    1.22    0.02   10.73  0.811
   5.783  0.150  8.47    2.54   12.00    1.86    0.02   13.88 1.519E+04

  10.540  8.938  1.41    1.74   10.43    1.26    0.03   11.72  0.806
   5.522  0.150  8.88    2.66   13.43    1.93    0.03   15.39 1.191E+04

  10.540  9.417  1.49    1.85   11.48    1.33    0.03   12.83  0.801
   5.247  0.150  9.32    2.84   15.03    2.03    0.03   17.09 9.253E+03

  10.540  9.952  1.57    2.01   12.65    1.42    0.04   14.11  0.796
   4.957  0.150  9.78    3.08   16.84    2.18    0.04   19.05 7.123E+03

  10.540 10.553  1.66    2.23   14.00    1.56    0.04   15.60  0.790
   4.651  0.150 10.27    3.41   18.89    2.39    0.04   21.33 5.425E+03

  10.540 11.237  1.75    2.52   15.55    1.75    0.05   17.35  0.784
   4.329  0.150 10.79    3.87   21.27    2.69    0.05   24.01 4.082E+03

  10.540 12.025  1.84    2.93   17.39    2.03    0.06   19.49  0.777
   3.988  0.150 11.33    4.52   24.11    3.12    0.06   27.30 3.029E+03

  10.540 12.950  1.95    3.51   19.62    2.43    0.08   22.14  0.768
   3.629  0.150 11.90    5.44   27.55    3.74    0.08   31.37 2.211E+03

  10.540 14.059  2.05    4.34   22.40    3.03    0.10   25.54  0.757
   3.251  0.150 12.51    6.79   31.84    4.66    0.10   36.60 1.583E+03

  10.540 15.424  2.16    5.60   26.07    3.97    0.14   30.18  0.743
   2.851  0.150 13.14    8.88   37.50    6.11    0.14   43.75 1.106E+03

  10.540 17.171  2.28    7.61   31.10    5.53    0.19   36.81  0.725
   2.430  0.150 13.82   12.29   45.28    8.50    0.19   53.97 7.479E+02

  10.540 19.529  2.41   11.11   38.53    8.32    0.27   47.12  0.701
   1.986  0.150 14.52   18.39   56.79   12.81    0.27   69.86 4.835E+02

  10.540 22.989  2.54   17.94   50.62   13.98    0.42   65.03  0.669
   1.517  0.150 15.27   30.76   75.54   21.55    0.42   97.51 2.914E+02

  10.540 28.864  2.68   33.96   72.76   27.77    0.76  101.28  0.623
   1.023  0.150 16.06   61.16  109.91   42.87    0.77  153.55 1.547E+02

  10.540 42.875  2.83   84.21  112.93   74.16    2.16  189.25  0.565
   0.502  0.150 16.89  163.30  172.96  115.21    2.23  290.40 5.967E+01

  10.540  6.610  1.03    1.45    3.37    1.18    0.00    4.56  0.854
   7.327  0.170  5.88    2.21    2.72    1.76    0.00    4.49 5.742E+04

  10.540  6.872  1.08    1.40    3.85    1.13    0.00    4.98  0.851
   7.151  0.170  6.16    2.14    3.44    1.69    0.00    5.13 4.701E+04

  10.540  7.151  1.14    1.37    4.35    1.09    0.00    5.45  0.848
   6.965  0.170  6.45    2.09    4.20    1.63    0.00    5.84 3.833E+04

  10.540  7.451  1.20    1.34    4.89    1.05    0.01    5.95  0.844
   6.769  0.170  6.75    2.05    5.02    1.59    0.01    6.61 3.111E+04

  10.540  7.772  1.27    1.33    5.48    1.03    0.01    6.52  0.841
   6.562  0.170  7.07    2.03    5.90    1.55    0.01    7.46 2.512E+04

  10.540  8.118  1.34    1.33    6.11    1.02    0.01    7.14  0.836
   6.344  0.170  7.41    2.03    6.86    1.53    0.01    8.40 2.017E+04

  10.540  8.494  1.41    1.35    6.81    1.01    0.01    7.83  0.832
   6.114  0.170  7.77    2.05    7.91    1.53    0.01    9.45 1.609E+04

  10.540  8.902  1.49    1.39    7.58    1.02    0.01    8.61  0.827
   5.871  0.170  8.15    2.10    9.08    1.55    0.01   10.64 1.275E+04

  10.540  9.350  1.57    1.45    8.39    1.05    0.01    9.45  0.823
   5.615  0.170  8.55    2.19   10.31    1.59    0.01   11.91 1.004E+04

