                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.7260  10.8464  0.32645E+04  0.56603E+04  0.21164E+03  0.50672E+04  0.68319E+04  0.21336E+03  0.60165E+04
   10.5400   2.2980  12.1370  0.20824E+04  0.40138E+04  0.19762E+03  0.34725E+04  0.49619E+04  0.19962E+03  0.42199E+04
   10.5400   1.8470  13.9134  0.12425E+04  0.27811E+04  0.18536E+03  0.22819E+04  0.35353E+04  0.18761E+03  0.28522E+04
   10.5400   1.3700  16.6043  0.66695E+03  0.18664E+04  0.17663E+03  0.14039E+04  0.24480E+04  0.17916E+03  0.18166E+04
   10.5400   0.8680  21.4755  0.29442E+03  0.11713E+04  0.17320E+03  0.75403E+03  0.15817E+04  0.17672E+03  0.10173E+04
   10.5400   0.3380  35.6941  0.75650E+02  0.65194E+03  0.24150E+03  0.25713E+03  0.91638E+03  0.30303E+03  0.36489E+03
   10.5400   4.4640   8.4711  0.11436E+05  0.14691E+05  0.75150E+02  0.14242E+05  0.16159E+05  0.75075E+02  0.15499E+05
   10.5400   4.1310   9.0447  0.84581E+04  0.11148E+05  0.69392E+02  0.10760E+05  0.12385E+05  0.69456E+02  0.11818E+05
   10.5400   3.7800   9.7123  0.61427E+04  0.83566E+04  0.64099E+02  0.80183E+04  0.93952E+04  0.64281E+02  0.89018E+04
   10.5400   3.4100  10.5045  0.43643E+04  0.61796E+04  0.59249E+02  0.58810E+04  0.70475E+04  0.59532E+02  0.66134E+04
   10.5400   3.0190  11.4680  0.30172E+04  0.45017E+04  0.54967E+02  0.42345E+04  0.52245E+04  0.55337E+02  0.48370E+04
   10.5400   2.6070  12.6789  0.20147E+04  0.32250E+04  0.51097E+02  0.29824E+04  0.38245E+04  0.51541E+02  0.34733E+04
   10.5400   2.1720  14.2721  0.12831E+04  0.22674E+04  0.47776E+02  0.20434E+04  0.27627E+04  0.48286E+02  0.24385E+04
   10.5400   1.7140  16.5158  0.76316E+03  0.15533E+04  0.44882E+02  0.13429E+04  0.19563E+04  0.45452E+02  0.16516E+04
   10.5400   1.2310  20.0510  0.40567E+03  0.10169E+04  0.42742E+02  0.81664E+03  0.13314E+04  0.43379E+02  0.10408E+04
   10.5400   0.7210  27.0211  0.17169E+03  0.60393E+03  0.42884E+02  0.42059E+03  0.82534E+03  0.43840E+02  0.55999E+03
   10.5400   0.1830  56.8872  0.30890E+02  0.29205E+03  0.12479E+03  0.99541E+02  0.47224E+03  0.21914E+03  0.14020E+03
   10.5400   5.5700   7.5822  0.22339E+05  0.26062E+05  0.29196E+02  0.25616E+05  0.27492E+05  0.28956E+02  0.26818E+05
   10.5400   5.2980   7.9852  0.17362E+05  0.20499E+05  0.26828E+02  0.20131E+05  0.21741E+05  0.26658E+02  0.21185E+05
   10.5400   5.0110   8.4335  0.13354E+05  0.15985E+05  0.24656E+02  0.15677E+05  0.17057E+05  0.24547E+02  0.16594E+05
   10.5400   4.7070   8.9366  0.10150E+05  0.12347E+05  0.22735E+02  0.12088E+05  0.13269E+05  0.22678E+02  0.12880E+05
   10.5400   4.3880   9.5076  0.76166E+04  0.94420E+04  0.20895E+02  0.92217E+04  0.10229E+05  0.20882E+02  0.98989E+04
   10.5400   4.0510  10.1642  0.56287E+04  0.71386E+04  0.19239E+02  0.69489E+04  0.78076E+04  0.19265E+02  0.75236E+04
   10.5400   3.6950  10.9316  0.40859E+04  0.53297E+04  0.17758E+02  0.51641E+04  0.58951E+04  0.17816E+02  0.56477E+04
   10.5400   3.3200  11.8470  0.29034E+04  0.39256E+04  0.16397E+02  0.37789E+04  0.44026E+04  0.16483E+02  0.41837E+04
   10.5400   2.9250  12.9682  0.20092E+04  0.28463E+04  0.15150E+02  0.27143E+04  0.32467E+04  0.15259E+02  0.30499E+04
   10.5400   2.5070  14.3909  0.13430E+04  0.20280E+04  0.14103E+02  0.19067E+04  0.23637E+04  0.14232E+02  0.21828E+04
   10.5400   2.0670  16.2886  0.85635E+03  0.14156E+04  0.13163E+02  0.13017E+04  0.16961E+04  0.13310E+02  0.15262E+04
   10.5400   1.6030  19.0194  0.50878E+03  0.96347E+03  0.12392E+02  0.85391E+03  0.11966E+04  0.12556E+02  0.10327E+04
   10.5400   1.1140  23.4927  0.26778E+03  0.62454E+03  0.11861E+02  0.51677E+03  0.81111E+03  0.12045E+02  0.64951E+03
   10.5400   0.5970  33.1744  0.10737E+03  0.35449E+03  0.12434E+02  0.25298E+03  0.48566E+03  0.12775E+02  0.33307E+03
   10.5400   0.0530 161.0260  0.71063E+01  0.64144E+02  0.32903E+02  0.21907E+02  0.10536E+03  0.53965E+02  0.30704E+02
   10.5400   6.3360   7.1087  0.34255E+05  0.37976E+05  0.12015E+02  0.37477E+05  0.39087E+05  0.11844E+02  0.38331E+05
   10.5400   6.1050   7.4376  0.27322E+05  0.30518E+05  0.11028E+02  0.30116E+05  0.31525E+05  0.10892E+02  0.30916E+05
   10.5400   5.8620   7.7957  0.21637E+05  0.24370E+05  0.10107E+02  0.24045E+05  0.25273E+05  0.10002E+02  0.24781E+05
   10.5400   5.6060   8.1879  0.16998E+05  0.19324E+05  0.92562E+01  0.19059E+05  0.20129E+05  0.91773E+01  0.19728E+05
   10.5400   5.3350   8.6203  0.13234E+05  0.15205E+05  0.84976E+01  0.14988E+05  0.15917E+05  0.84414E+01  0.15587E+05
   10.5400   5.0500   9.1006  0.10206E+05  0.11867E+05  0.77882E+01  0.11687E+05  0.12492E+05  0.77515E+01  0.12219E+05
   10.5400   4.7490   9.6391  0.77846E+04  0.91788E+04  0.71463E+01  0.90281E+04  0.97231E+04  0.71263E+01  0.94947E+04
   10.5400   4.4320  10.2492  0.58662E+04  0.70298E+04  0.65532E+01  0.69023E+04  0.75006E+04  0.65474E+01  0.73075E+04
   10.5400   4.0970  10.9495  0.43585E+04  0.53256E+04  0.60234E+01  0.52162E+04  0.57306E+04  0.60296E+01  0.55650E+04
   10.5400   3.7440  11.7661  0.31860E+04  0.39858E+04  0.55376E+01  0.38906E+04  0.43321E+04  0.55541E+01  0.41880E+04
   10.5400   3.3720  12.7374  0.22839E+04  0.29428E+04  0.50936E+01  0.28585E+04  0.32372E+04  0.51187E+01  0.31098E+04
   10.5400   2.9790  13.9224  0.15981E+04  0.21399E+04  0.47048E+01  0.20638E+04  0.23896E+04  0.47372E+01  0.22746E+04
   10.5400   2.5650  15.4182  0.10841E+04  0.15290E+04  0.43530E+01  0.14587E+04  0.17403E+04  0.43916E+01  0.16341E+04
   10.5400   2.1280  17.3984  0.70488E+03  0.10705E+04  0.40526E+01  0.10039E+04  0.12494E+04  0.40967E+01  0.11485E+04
   10.5400   1.6670  20.2141  0.43039E+03  0.73104E+03  0.38083E+01  0.66582E+03  0.88243E+03  0.38577E+01  0.78352E+03
   10.5400   1.1810  24.7272  0.23626E+03  0.48151E+03  0.36423E+01  0.41559E+03  0.60843E+03  0.36977E+01  0.50819E+03
   10.5400   0.6690  33.9881  0.10299E+03  0.28427E+03  0.36911E+01  0.21748E+03  0.38066E+03  0.37656E+01  0.27868E+03
   10.5400   0.1280  86.6338  0.15043E+02  0.95099E+02  0.25636E+02  0.42409E+02  0.15338E+03  0.57679E+02  0.53880E+02
   10.5400   6.8970   6.8128  0.46091E+05  0.49418E+05  0.51892E+01  0.48838E+05  0.50016E+05  0.50892E+01  0.49143E+05
   10.5400   6.6980   7.1007  0.37367E+05  0.40276E+05  0.47282E+01  0.39816E+05  0.40871E+05  0.46459E+01  0.40178E+05
   10.5400   6.4870   7.4103  0.30121E+05  0.32657E+05  0.43221E+01  0.32292E+05  0.33236E+05  0.42550E+01  0.32684E+05
   10.5400   6.2650   7.7447  0.24135E+05  0.26336E+05  0.39453E+01  0.26044E+05  0.26887E+05  0.38915E+01  0.26447E+05
   10.5400   6.0300   8.1075  0.19208E+05  0.21111E+05  0.36101E+01  0.20877E+05  0.21629E+05  0.35677E+01  0.21275E+05
   10.5400   5.7830   8.5033  0.15178E+05  0.16815E+05  0.32958E+01  0.16627E+05  0.17294E+05  0.32633E+01  0.17008E+05
   10.5400   5.5220   8.9375  0.11899E+05  0.13300E+05  0.30139E+01  0.13147E+05  0.13737E+05  0.29899E+01  0.13505E+05
   10.5400   5.2470   9.4174  0.92475E+04  0.10441E+05  0.27540E+01  0.10315E+05  0.10835E+05  0.27373E+01  0.10644E+05
   10.5400   4.9570   9.9519  0.71185E+04  0.81286E+04  0.25173E+01  0.80247E+04  0.84803E+04  0.25069E+01  0.83225E+04
   10.5400   4.6510  10.5531  0.54210E+04  0.62713E+04  0.23024E+01  0.61844E+04  0.65821E+04  0.22973E+01  0.64500E+04
   10.5400   4.3290  11.2369  0.40789E+04  0.47906E+04  0.21027E+01  0.47169E+04  0.50626E+04  0.21021E+01  0.49506E+04
   10.5400   3.9880  12.0254  0.30263E+04  0.36194E+04  0.19297E+01  0.35559E+04  0.38559E+04  0.19328E+01  0.37595E+04
   10.5400   3.6290  12.9503  0.22091E+04  0.27009E+04  0.17697E+01  0.26453E+04  0.29050E+04  0.17760E+01  0.28205E+04
   10.5400   3.2510  14.0586  0.15812E+04  0.19874E+04  0.16223E+01  0.19377E+04  0.21625E+04  0.16313E+01  0.20871E+04
   10.5400   2.8510  15.4240  0.11042E+04  0.14394E+04  0.14978E+01  0.13939E+04  0.15894E+04  0.15090E+01  0.15204E+04
   10.5400   2.4300  17.1709  0.74671E+03  0.10232E+04  0.13839E+01  0.98045E+03  0.11515E+04  0.13970E+01  0.10865E+04
   10.5400   1.9860  19.5292  0.48258E+03  0.71127E+03  0.12859E+01  0.66976E+03  0.82124E+03  0.13007E+01  0.75803E+03
   10.5400   1.5170  22.9885  0.29078E+03  0.48096E+03  0.12129E+01  0.43898E+03  0.57562E+03  0.12294E+01  0.51159E+03
   10.5400   1.0230  28.8638  0.15423E+03  0.31142E+03  0.11704E+01  0.26728E+03  0.39228E+03  0.11892E+01  0.32477E+03
   10.5400   0.5020  42.8753  0.59325E+02  0.17259E+03  0.12869E+01  0.12705E+03  0.23294E+03  0.13296E+01  0.16287E+03
   10.5400   7.3270   6.6099  0.57394E+05  0.60037E+05  0.23202E+01  0.59357E+05  0.59995E+05  0.22652E+01  0.58984E+05
   10.5400   7.1510   6.8719  0.46989E+05  0.49356E+05  0.21069E+01  0.48823E+05  0.49426E+05  0.20609E+01  0.48630E+05
   10.5400   6.9650   7.1514  0.38309E+05  0.40419E+05  0.19162E+01  0.40000E+05  0.40569E+05  0.18780E+01  0.39942E+05
   10.5400   6.7690   7.4505  0.31090E+05  0.32962E+05  0.17426E+01  0.32632E+05  0.33166E+05  0.17110E+01  0.32671E+05
   10.5400   6.5620   7.7718  0.25100E+05  0.26755E+05  0.15862E+01  0.26495E+05  0.26992E+05  0.15605E+01  0.26601E+05
   10.5400   6.3440   8.1183  0.20152E+05  0.21607E+05  0.14427E+01  0.21400E+05  0.21862E+05  0.14220E+01  0.21551E+05
   10.5400   6.1140   8.4936  0.16080E+05  0.17353E+05  0.13128E+01  0.17188E+05  0.17614E+05  0.12964E+01  0.17366E+05
   10.5400   5.8710   8.9022  0.12744E+05  0.13853E+05  0.11961E+01  0.13721E+05  0.14112E+05  0.11835E+01  0.13913E+05
   10.5400   5.6150   9.3496  0.10026E+05  0.10984E+05  0.10892E+01  0.10878E+05  0.11231E+05  0.10797E+01  0.11070E+05
   10.5400   5.3450   9.8427  0.78248E+04  0.86483E+04  0.99202E+00  0.85618E+04  0.88807E+04  0.98532E+00  0.87495E+04
   10.5400   5.0600  10.3904  0.60525E+04  0.67562E+04  0.90442E+00  0.66851E+04  0.69706E+04  0.90004E+00  0.68627E+04
   10.5400   4.7600  11.0043  0.46357E+04  0.52332E+04  0.82335E+00  0.51741E+04  0.54278E+04  0.82094E+00  0.53381E+04
   10.5400   4.4430  11.6997  0.35113E+04  0.40156E+04  0.75129E+00  0.39658E+04  0.41901E+04  0.75053E+00  0.41144E+04
   10.5400   4.1090  12.4976  0.26264E+04  0.30493E+04  0.68538E+00  0.30068E+04  0.32040E+04  0.68601E+00  0.31392E+04
   10.5400   3.7570  13.4276  0.19359E+04  0.22887E+04  0.62537E+00  0.22516E+04  0.24243E+04  0.62716E+00  0.23679E+04
   10.5400   3.3850  14.5332  0.14021E+04  0.16952E+04  0.57293E+00  0.16622E+04  0.18134E+04  0.57568E+00  0.17632E+04
   10.5400   2.9930  15.8812  0.99377E+03  0.12366E+04  0.52553E+00  0.12065E+04  0.13390E+04  0.52909E+00  0.12932E+04
   10.5400   2.5800  17.5813  0.68496E+03  0.88587E+03  0.48272E+00  0.85768E+03  0.97439E+03  0.48695E+00  0.93145E+03
   10.5400   2.1440  19.8289  0.45434E+03  0.62125E+03  0.44643E+00  0.59383E+03  0.69797E+03  0.45126E+00  0.65618E+03
   10.5400   1.6840  23.0183  0.28450E+03  0.42431E+03  0.41696E+00  0.39648E+03  0.49128E+03  0.42235E+00  0.44881E+03
   10.5400   1.1980  28.1120  0.16140E+03  0.27975E+03  0.39997E+00  0.25001E+03  0.33876E+03  0.40608E+00  0.29329E+03
   10.5400   0.6870  38.4765  0.73622E+02  0.17045E+03  0.40512E+00  0.13751E+03  0.22059E+03  0.41276E+00  0.17006E+03
   10.5400   0.1470  93.9802  0.12232E+02  0.54425E+02  0.32732E+01  0.31639E+02  0.83462E+02  0.58548E+01  0.43566E+02
   10.5400   7.6660   6.4620  0.68119E+05  0.69846E+05  0.10720E+01  0.69056E+05  0.69072E+05  0.10424E+01  0.67905E+05
   10.5400   7.5080   6.7061  0.56076E+05  0.57706E+05  0.97032E+00  0.57089E+05  0.57174E+05  0.94532E+00  0.56262E+05
   10.5400   7.3420   6.9650  0.46033E+05  0.47549E+05  0.87692E+00  0.47067E+05  0.47203E+05  0.85595E+00  0.46489E+05
   10.5400   7.1660   7.2405  0.37653E+05  0.39048E+05  0.79513E+00  0.38673E+05  0.38845E+05  0.77761E+00  0.38286E+05
   10.5400   6.9810   7.5343  0.30684E+05  0.31957E+05  0.71986E+00  0.31664E+05  0.31861E+05  0.70534E+00  0.31422E+05
   10.5400   6.7860   7.8487  0.24898E+05  0.26050E+05  0.65164E+00  0.25820E+05  0.26032E+05  0.63972E+00  0.25688E+05
   10.5400   6.5800   8.1863  0.20104E+05  0.21140E+05  0.59070E+00  0.20960E+05  0.21179E+05  0.58101E+00  0.20908E+05
   10.5400   6.3630   8.5502  0.16148E+05  0.17074E+05  0.53518E+00  0.16931E+05  0.17152E+05  0.52740E+00  0.16938E+05
   10.5400   6.1340   8.9443  0.12894E+05  0.13716E+05  0.48511E+00  0.13603E+05  0.13820E+05  0.47897E+00  0.13650E+05
   10.5400   5.8930   9.3731  0.10231E+05  0.10954E+05  0.43911E+00  0.10864E+05  0.11073E+05  0.43439E+00  0.10938E+05
   10.5400   5.6380   9.8424  0.80600E+04  0.86937E+04  0.39858E+00  0.86215E+04  0.88196E+04  0.39505E+00  0.87105E+04
   10.5400   5.3690  10.3594  0.63010E+04  0.68521E+04  0.36193E+00  0.67936E+04  0.69789E+04  0.35942E+00  0.68903E+04
   10.5400   5.0860  10.9333  0.48844E+04  0.53598E+04  0.32798E+00  0.53119E+04  0.54827E+04  0.32632E+00  0.54102E+04
   10.5400   4.7870  11.5759  0.37508E+04  0.41581E+04  0.29786E+00  0.41184E+04  0.42741E+04  0.29693E+00  0.42140E+04
   10.5400   4.4720  12.3031  0.28502E+04  0.31966E+04  0.27034E+00  0.31632E+04  0.33038E+04  0.27002E+00  0.32532E+04
   10.5400   4.1390  13.1367  0.21399E+04  0.24326E+04  0.24615E+00  0.24041E+04  0.25301E+04  0.24632E+00  0.24868E+04
   10.5400   3.7880  14.1068  0.15845E+04  0.18304E+04  0.22429E+00  0.18056E+04  0.19177E+04  0.22488E+00  0.18800E+04
   10.5400   3.4180  15.2581  0.11540E+04  0.13593E+04  0.20453E+00  0.13373E+04  0.14367E+04  0.20548E+00  0.14032E+04
   10.5400   3.0280  16.6585  0.82346E+03  0.99433E+03  0.18679E+00  0.97417E+03  0.10624E+04  0.18802E+00  0.10317E+04
   10.5400   2.6170  18.4191  0.57228E+03  0.71428E+03  0.17084E+00  0.69528E+03  0.77387E+03  0.17231E+00  0.74495E+03
   10.5400   2.1830  20.7361  0.38359E+03  0.50212E+03  0.15743E+00  0.48348E+03  0.55442E+03  0.15910E+00  0.52605E+03
   10.5400   1.7250  24.0009  0.24355E+03  0.34361E+03  0.14660E+00  0.32443E+03  0.38997E+03  0.14848E+00  0.36075E+03
   10.5400   1.2420  29.1501  0.14096E+03  0.22680E+03  0.13919E+00  0.20593E+03  0.26847E+03  0.14129E+00  0.23662E+03
   10.5400   0.7330  39.3274  0.66823E+02  0.14023E+03  0.13989E+00  0.11626E+03  0.17744E+03  0.14246E+00  0.14076E+03
   10.5400   0.1950  84.0121  0.14004E+02  0.54367E+02  0.70892E+00  0.33914E+02  0.71628E+02  0.13676E+01  0.41337E+02
   10.5400   7.9400   6.3492  0.78378E+05  0.78958E+05  0.50938E+00  0.78053E+05  0.77362E+05  0.49351E+00  0.76033E+05
   10.5400   7.7980   6.5803  0.64743E+05  0.65444E+05  0.45655E+00  0.64740E+05  0.64238E+05  0.44317E+00  0.63201E+05
   10.5400   7.6470   6.8244  0.53334E+05  0.54105E+05  0.41157E+00  0.53557E+05  0.53207E+05  0.40028E+00  0.52399E+05
   10.5400   7.4880   7.0829  0.43821E+05  0.44615E+05  0.37083E+00  0.44189E+05  0.43959E+05  0.36135E+00  0.43329E+05
   10.5400   7.3210   7.3572  0.35907E+05  0.36694E+05  0.33346E+00  0.36363E+05  0.36224E+05  0.32555E+00  0.35734E+05
   10.5400   7.1440   7.6491  0.29327E+05  0.30087E+05  0.30095E+00  0.29830E+05  0.29763E+05  0.29438E+00  0.29380E+05
   10.5400   6.9580   7.9606  0.23868E+05  0.24587E+05  0.27105E+00  0.24387E+05  0.24374E+05  0.26564E+00  0.24076E+05
   10.5400   6.7620   8.2940  0.19346E+05  0.20017E+05  0.24410E+00  0.19861E+05  0.19888E+05  0.23968E+00  0.19656E+05
   10.5400   6.5540   8.6522  0.15607E+05  0.16227E+05  0.22088E+00  0.16105E+05  0.16162E+05  0.21730E+00  0.15980E+05
   10.5400   6.3360   9.0386  0.12527E+05  0.13093E+05  0.19896E+00  0.12997E+05  0.13075E+05  0.19611E+00  0.12931E+05
   10.5400   6.1050   9.4572  0.99969E+04  0.10509E+05  0.17995E+00  0.10434E+05  0.10525E+05  0.17771E+00  0.10411E+05
   10.5400   5.8620   9.9130  0.79288E+04  0.83879E+04  0.16245E+00  0.83279E+04  0.84268E+04  0.16074E+00  0.83364E+04
   10.5400   5.6060  10.4122  0.62457E+04  0.66533E+04  0.14655E+00  0.66052E+04  0.67069E+04  0.14528E+00  0.66344E+04
   10.5400   5.3350  10.9627  0.48827E+04  0.52419E+04  0.13268E+00  0.52030E+04  0.53041E+04  0.13178E+00  0.52454E+04
   10.5400   5.0500  11.5743  0.37858E+04  0.40989E+04  0.11984E+00  0.40671E+04  0.41646E+04  0.11926E+00  0.41166E+04
   10.5400   4.7490  12.2601  0.29083E+04  0.31793E+04  0.10844E+00  0.31530E+04  0.32452E+04  0.10812E+00  0.32054E+04
   10.5400   4.4320  13.0374  0.22112E+04  0.24436E+04  0.98013E-01  0.24216E+04  0.25072E+04  0.97915E-01  0.24737E+04
   10.5400   4.0970  13.9298  0.16616E+04  0.18595E+04  0.88885E-01  0.18406E+04  0.19191E+04  0.88968E-01  0.18905E+04
   10.5400   3.7440  14.9709  0.12316E+04  0.13988E+04  0.80599E-01  0.13822E+04  0.14536E+04  0.80832E-01  0.14285E+04
   10.5400   3.3720  16.2097  0.89793E+03  0.10384E+04  0.73120E-01  0.10236E+04  0.10879E+04  0.73474E-01  0.10655E+04
   10.5400   2.9790  17.7223  0.64146E+03  0.75901E+03  0.66670E-01  0.74534E+03  0.80338E+03  0.67125E-01  0.78264E+03
   10.5400   2.5650  19.6333  0.44616E+03  0.54443E+03  0.60880E-01  0.53138E+03  0.58392E+03  0.61418E-01  0.56411E+03
   10.5400   2.1280  22.1665  0.29902E+03  0.38162E+03  0.56019E-01  0.36859E+03  0.41685E+03  0.56630E-01  0.39706E+03
   10.5400   1.6670  25.7759  0.18936E+03  0.25980E+03  0.52146E-01  0.24608E+03  0.29162E+03  0.52829E-01  0.27076E+03
   10.5400   1.1810  31.5836  0.10855E+03  0.17007E+03  0.49616E-01  0.15465E+03  0.19942E+03  0.50387E-01  0.17593E+03
   10.5400   0.6690  43.6149  0.49643E+02  0.10368E+03  0.50737E-01  0.85204E+02  0.13072E+03  0.51717E-01  0.10252E+03
   10.5400   0.1280 121.4180  0.71964E+01  0.31286E+02  0.70522E+00  0.18590E+02  0.47388E+02  0.15485E+01  0.25436E+02
